,Delta,Theta,Alpha,Beta,Gamma
1,284.2493482238599,257.93338394022487,182.2092045348844,94.12318286297796,105.2359746084408
2,647.0480171888776,440.2348277279172,265.36865830973903,113.36037404870244,106.6438751619297
3,613.4120801330213,336.66522955381413,150.33319078427368,101.83799295070772,107.86833656185239
4,1034.249444969435,521.6905609817227,329.6968932254524,99.74327886024794,72.95418673485044
5,836.6629616449461,528.1497252843022,298.59139596784576,105.77362875042571,101.31394870495336
6,807.1358379796178,444.0936602243305,189.3374423567214,142.33150737947253,92.46238461654518
7,1278.1013200490993,597.4371020334495,333.8716816396309,124.0737286593354,83.4778647174929
8,249.61553939456164,282.8098381210694,191.66317155178035,90.49962434917963,83.85751970735068
9,170.5123409471882,268.1980974564759,155.19070701174547,91.34676164230392,80.24566796915663
10,260.54321333161386,185.6770808018753,113.10083115201144,117.60265469065455,106.84570580637114
11,504.27107286137374,364.1313385449307,203.37628903082603,103.88027643004655,92.3688609042244
12,278.7104983834334,200.9067921807826,168.669811253641,110.85981896546917,78.15904421568784
14,258.61922966715713,208.7575972571051,157.9528421836318,95.91162137330623,107.45156103330324
15,1467.1645007732272,895.6094150142895,379.955956998192,157.24954592241593,119.79518784816153
16,443.30383763492586,268.5745898475452,295.25953953322215,127.04815797446379,68.04351116054805
17,248.03061532580654,154.30870544855406,204.95683475691675,94.8635369207757,102.89993435945088
18,919.9707061801415,333.33840560041256,112.04305539959039,85.3673715230563,78.16711665146093
19,312.43863062568204,234.80310101011406,220.5665706587814,123.84982236082449,85.71836037242538
20,465.15923368250066,233.3368423876876,165.95909933172004,114.05942529926114,99.91442002090427
21,891.6678501282037,885.5970141195764,372.70521188625696,156.40122056147393,104.32550431928381
22,317.53080412536343,258.4626422912008,183.67073184842872,129.065776907704,84.60462130551754
23,200.69728275471715,171.6387076185782,133.32182823932035,120.71782453465501,80.80659222100451
24,729.2306152130368,604.411866815897,277.642187050583,127.10177487019648,104.09388250319947
25,750.6444434151126,557.2307177713819,314.2156008134954,196.22861696333857,102.95550143786556
26,1030.076883006237,798.5594259350954,422.2051251864406,176.3399766466632,91.4479555973603
27,232.02957167463077,164.44973290147308,139.27773491879628,110.44612129156961,110.11272373983209
28,1071.2845351311294,633.9258301098673,297.3590414556396,125.84506715640904,82.58456668725645
29,233.9620081633296,131.93823058006498,118.98818250260186,126.47012610861331,92.37781915051198
30,191.02057546435825,91.38727201220452,142.5942423993817,89.39190617995868,114.16733912938936
31,174.01006423178202,286.80226875697946,194.01547976672373,93.75362448767378,101.92841768691744
32,1166.6376167099172,1033.4507639945032,411.01958827549936,139.8515999524222,101.55601748703491
33,196.26419019496484,259.92756344555966,165.5105353662144,80.75261984102758,101.8804064813047
34,164.57411656383246,118.69320936296685,109.65902318846466,82.33448484391295,86.03819410959017
35,205.78492211519244,190.95821842093284,168.5804254865905,113.3231834991081,66.80200503179536
