,Delta,Theta,Alpha,Beta,Gamma
1,312.07716972696187,236.4581279717996,150.0034741580991,87.07437201928985,92.73666053344338
3,265.86286275049673,189.35541021321052,154.615788734238,121.84483711249801,110.85680474348186
4,359.1538453077643,243.69932594527472,185.48656153797694,111.74973710942228,139.8228025846697
5,514.3750265612609,250.94473434301213,199.08120767582832,155.16635255339182,93.2401844003699
6,233.8091310247481,176.3015208597311,211.53214771302441,135.18885720465505,87.48268042128032
7,784.0039163798355,308.5907946723363,195.54614006047404,126.8037982576251,93.73897662480273
8,703.588568477442,360.95760794289333,194.22121705525166,115.04667051413205,99.58203641253664
9,629.272382243435,321.9216318213444,149.82246560867392,125.64312270864689,100.15915331646396
10,399.48608718034615,212.72622157243714,132.65464787927596,108.73427119482103,112.78702603720618
11,468.7052333834838,189.5172798993354,156.46605036348515,124.69538159348828,146.26433854047036
12,992.0757569789968,440.6307016798858,188.97249163871908,138.09632926257893,106.72913541345265
13,587.6355406239836,324.1758632783197,204.2576450175496,129.13481079274217,155.4694845440226
14,567.4100599399397,412.0826581583412,185.20277358824436,120.03928560412892,115.19417549415489
15,447.6638012018898,301.2900850580329,110.23265358010542,93.1247516984844,88.9606969907274
16,374.71703689380206,382.84714103611316,96.32752003064705,108.87088547451515,105.52139127106369
17,1413.7173706482606,422.9312772903835,165.00291623301476,109.51581254813436,128.0464629342443
18,437.0214947984668,292.09918830769084,127.05733373727719,129.1839016640742,115.52083719067883
19,270.69743145477884,206.42278857432356,161.69181712561345,120.54836908620045,111.37365970654812
20,244.9707170392676,189.73086014672649,127.27140571958894,135.52884839218368,133.59142133418294
21,738.3312169518576,269.9994342698097,147.13695803104895,108.01673638953514,98.46769458401874
22,342.6448996767636,318.5558960682471,162.45956609004384,118.06200934048505,116.40352861657892
23,497.8522693875726,528.9604063551643,151.66746389049905,111.65719868282552,112.28761327184286
24,255.9924048186366,227.09133384520777,115.47971721736849,115.43106860099485,83.47444237181645
25,300.10425325405697,333.960822484814,144.60105462609732,129.64245549123063,113.43276867891791
26,288.83337309377436,217.68565977868826,215.59426141215786,114.02237872690675,98.1438265519034
27,232.9159465665364,254.112093691629,143.06016064754118,93.3138114724049,124.73799633396784
28,211.13306097598684,226.39017274202442,198.2488291299956,121.38453476226766,97.90350247274705
29,185.13839977586798,198.3131005961914,153.89198014937568,112.97262610118524,133.91958482576922
31,491.8963634670271,182.4799753569934,99.25282553775648,117.64725587293742,95.50192337835159
