,Delta,Theta,Alpha,Beta,Gamma
1,299.9138868922196,272.115242381614,252.86282123716666,142.97267601658496,118.7496368435431
2,348.7116416753712,328.9328889676252,84.37025816512451,118.22607289897836,81.28436115239228
3,528.8176394246542,324.7609785120111,217.7460149724409,112.65435966196169,88.73799908033742
4,332.54250451183117,241.47484347026813,193.38762014389513,128.48714147399892,90.60372807682477
5,345.3127156495354,246.33358418093476,238.43006607911548,147.30547217247988,87.7914241192241
6,1564.8277886854703,694.002187896887,282.3329890001856,180.0057561075054,107.47937594774959
7,335.84248198236753,192.54027358304904,92.86197370256113,151.63881228164703,128.7792159530917
8,392.42623916682066,237.51974343933722,213.2867026362769,135.46164152655092,109.47855380261863
9,475.20872852764023,227.76493072648518,214.08630232842614,169.43361966500035,99.0787708468076
10,362.69420680166013,295.2671215137596,247.24857842954162,154.58271798012072,106.19762376271746
11,383.5833566974475,202.58421991315282,187.93474597873006,152.32643195916967,116.76231115701819
12,411.4947350173304,258.2086363237705,194.85459478645242,174.84068866402376,124.96802020443235
13,256.8578217937795,258.7849380236691,236.36417175391927,120.92174123538028,97.28721225049148
14,382.2673121747514,232.03734342764864,81.68170124490533,133.4177839855461,151.75891931356185
15,457.58816602107265,210.42140649285074,195.35467763570188,151.88053916989287,103.80707910780251
16,556.1181911083787,328.4216375933089,150.50073846384956,139.01895537988239,104.52411631218541
17,269.62677399177477,278.9135587484312,194.0731598521939,136.65533378053604,111.47081649169829
18,419.86274915364345,269.42256861968906,261.7209591553598,190.92272105236253,159.91393228867855
19,479.26151341665025,368.4576361329847,287.20411240666516,151.3593977322381,80.71176610010184
20,678.8652359699059,383.9339935061158,150.0935284569555,145.74464909846787,77.94305750795475
21,769.7343552237725,450.14942445122995,274.65883364413264,147.40939011329357,124.54244202577756
22,241.39282640395808,244.3218953691926,252.45195663235077,137.19844966911884,94.93624708814936
23,637.496272433468,398.94148942909914,246.86484437462363,103.14631027136426,116.7229263989644
24,666.1555147975113,288.69825849194956,224.3301783290222,147.43687444043917,86.95972075429063
25,751.699849408122,288.15874180779343,194.15207155979945,130.41242079744424,79.17166820429252
26,478.0672040576537,354.11422221597513,175.82267453129936,151.91909823905658,102.15684209130009
27,477.55249631392337,434.81795057026847,244.34105946660802,142.62483408195635,101.05605195710731
28,223.04207238854372,267.652482350662,215.58336149201187,145.79136954244055,126.53077011331027
29,497.6487263667384,193.4573824754902,188.81689544339332,149.71346938395507,90.9061763389769
30,763.318901049325,434.3132749846374,182.8929424805286,163.09227869354154,125.98528446847389
31,405.81058959052194,242.93069718475027,273.73546000987255,112.62144454157651,97.01884764517052
32,498.5992169629295,266.12499397282556,211.72676816486273,139.8096393210057,102.5986330550584
33,354.49162247790605,199.19181993439753,213.44258815983585,126.54411241970092,97.4081118210151
34,558.8205369990092,293.39591499002984,254.1623104510501,175.91742423886103,96.40442185244714
35,437.024022713491,324.4019175162603,197.9819516549403,123.51206917765957,103.33176508183712
36,411.97513159293493,327.27607289037127,164.217002185677,118.7121594301065,89.7856061233865
37,382.43445861153464,254.0498119899145,278.65340295463704,165.18288229400338,85.59474124924085
38,434.7708460681724,220.14335811786776,222.62567496482285,142.8697416831732,106.02500223753245
39,315.9085887833181,216.86220384486145,164.86694352750888,123.20081603317409,97.71357472178153
40,576.7019918955372,331.13002274557374,226.85971665147432,152.53765071241074,114.5768197154182
41,817.0505134041952,410.8241591463343,200.5519242862649,161.46048167827857,109.0225765203613
42,521.9178165845528,246.84099604483066,194.872305404712,145.0509217819897,93.62357273810079
43,561.9448635717049,385.90288680407804,181.84016468963006,138.1119714067979,95.40709017856946
44,333.71428809270685,360.2661375400887,199.12095692932363,113.1675952678541,78.37122469651672
45,418.84255385612414,431.2131091866794,157.77872139185766,143.58178781783494,66.85679997484164
46,276.59176945464344,301.4778122270334,179.78994399955596,130.81003916779133,110.85580896622945
