,Delta,Theta,Alpha,Beta,Gamma
1,541.8845647135399,432.0632581994129,296.99381278571366,148.25909059615245,80.74403426410022
2,728.5055014608314,463.8570996975347,377.08340388435835,144.102441477522,116.05595878147568
3,926.3833448414607,396.6054325840259,348.50583095464236,195.331802161039,112.4088672588386
4,897.7548955707277,411.5415017876887,151.04050331352127,155.4403737268234,112.2315299585907
5,629.1614029173927,365.51757247014365,210.2188065343981,191.8374773504031,76.57996298443908
6,370.95681005368357,401.39219831196976,282.0171237459193,138.77648511424036,105.78896236118936
7,331.96145529801817,231.99179735052448,216.13116499753306,136.99927145449138,109.57960526504803
8,1041.0006766106535,488.55433980516545,446.7754774937748,194.33696328812974,134.33263153350606
9,709.4499416463477,647.8711188726427,363.9018977750147,225.43168879527238,136.53219300182678
10,814.1150888327256,486.16960568661716,343.57546710302734,177.64335056101157,112.03441793750883
11,826.0570366253286,411.9094602320147,352.88212777838845,240.4008232636151,127.0872585076262
12,698.796746753136,530.3268880842913,329.98964476391484,173.97166063922205,100.76418469322556
13,669.5481088662204,587.9801675012224,375.3858511257795,226.7250195179634,88.95009008325343
14,603.0210660062701,504.166686178231,330.9993245294818,164.45000958884427,112.45100665121974
15,584.3802900014564,538.7871254675982,334.1598185397928,141.5448284616773,118.5847806542528
16,662.0087394544297,390.6124454303002,173.95592198409582,151.48504171405042,145.84422838631713
17,698.1874857105344,310.2017483655717,212.60137207826682,204.10938815888488,139.4053354474984
18,519.5010299830881,307.1718672155119,305.92134010674687,189.31047935728157,133.6111234198903
20,541.3279332108973,390.536894824514,236.76376528656547,162.54332821045932,120.35472442217626
21,707.072070755213,469.0975084221336,253.3550452518905,191.85480391927493,129.10458965874213
22,844.6314025878771,420.7143606847113,306.99724825372186,229.11260247234858,156.64665104275267
23,797.4750269965117,361.40941859203275,283.7326052507114,173.5975419878239,139.18747821852634
24,568.6103324052827,306.61473638749254,200.55636594396725,166.10924808361196,93.82257943952155
25,717.6372347487707,516.814824400516,371.07478219386735,158.28063549950534,151.25873098956868
26,583.0594195413535,328.7689948022738,277.95363227404147,199.79342296678365,138.23004811079736
27,805.6793578382114,513.2975975537447,275.5577498281198,174.73779403652665,137.8351803638219
28,698.1200859399369,410.3954682463167,355.6117206179838,217.33434308929833,148.00267200790557
29,1317.7605506178024,478.67133557623674,429.774332665935,171.2660297534854,153.8789879474938
30,822.8572779128685,385.18301647566193,283.7432817634893,179.84062086000742,120.32255320553004
31,639.393118693569,386.67872699999316,257.7233136877985,225.71337968258706,88.75154026967385
32,849.5998615382006,444.32109677107155,366.9065868409924,195.27956133806418,120.62551008253902
33,957.5085367483098,393.0924236782182,253.03565034445236,152.18306337053602,97.0697433352866
34,609.1021772597807,455.11109411622886,233.1207912062619,224.19386937846267,128.81544508889056
35,888.7263825070095,396.1532644519366,221.7642041076956,210.97583623372034,145.72490518068216
36,1384.0781211450246,570.6285759822292,367.76946116421584,197.2916732311565,165.5528354054387
37,1163.728427512897,542.7107361391899,226.45939104760265,241.02619550871768,135.68370240931836
38,771.5790656160865,511.14314739173835,397.8233368725122,173.92600963240116,136.78791320547475
39,967.902127448891,678.686092396274,509.9207126007106,176.46611472358185,142.5945511771699
40,1098.1972757371248,659.0905871290155,427.3317073636862,254.65506003639564,156.3242747070858
41,748.2119505513148,345.6057259448194,346.4923750959006,203.80849533738535,138.62291287328992
42,1225.6877295645897,641.1728390423333,530.7836436641167,260.46000235622245,140.37989432996517
43,858.5519320646106,629.0775501233591,454.234875424613,211.10916833894026,133.1344347427456
44,3583.0338862983613,1180.5903775191366,808.8988387180832,320.6190791999204,108.64042180930696
45,644.1456251855768,580.8577224802027,249.4055879262518,207.88389963590149,107.86402289275316
46,876.8213430332735,442.93859706360115,330.87689625253944,189.83070026069186,117.23219430631339
47,498.3589615524058,377.36265338499595,278.5051845897339,199.07591965912133,128.56608786728165
48,861.8404962821309,434.52291981887095,298.3115458102113,249.4503287338117,121.27275620527347
49,942.1560086496487,528.1317886092854,391.6468894760204,165.65716106484984,128.320951073803
50,658.1924942563708,583.4913244877963,239.9790639728498,231.91418884445457,168.3953808103406
51,635.0956688389379,465.1158087578589,333.20486495466105,207.71866767560385,125.64948535673508
52,921.8469657141522,495.1218287709312,337.04172933823213,195.1512885607359,148.53465953440997
53,1375.2753464402058,581.3185671716031,200.30659704327735,213.2588598895152,131.2012188147107
54,856.3131650987342,399.8833116919225,365.57041699386554,274.04165523420323,150.26919793031897
55,696.4548119608937,327.9796805672667,356.8327029758308,257.9687252133478,137.1437392172075
56,1014.9149070029187,356.0813728685395,336.2013037409566,179.53888543343703,162.88348122954162
57,1351.79219239228,644.614416383261,350.6283682128534,156.13862093930499,123.90321306576223
58,1597.9804772970645,503.14361715867096,252.5219373040596,190.23007641443542,159.0703416490548
59,999.4048737344825,542.918346397067,438.06397809843764,241.03322815806368,162.94256652673525
60,1116.8698604900578,355.8049631839905,312.12767266867695,186.2454701490164,142.15596079649833
61,1137.1999775299787,655.7722102403826,292.38680065319784,219.93657080901679,144.49719881838544
62,1582.72249688417,548.5277516492008,391.33236963381614,210.29742137653906,125.28787222181273
63,1324.7154844483468,530.3191390521837,367.17037155468563,206.52717773931718,124.48649403284242
64,985.862001281131,586.8555309643972,322.19793146383006,166.2681936372003,101.07501568620069
65,1277.8910176095187,964.7231086668647,406.6569408067321,255.54975581469668,160.87718006348595
66,1081.4195339985183,503.61342449442884,325.3777577110528,161.4624439422352,115.36295124112891
67,1040.9034586591451,403.88520694227475,190.96837159215005,206.26418810625717,105.90993657156628
68,696.4834783905587,700.9599081753959,469.5963372599508,212.30456752853038,130.77460849659465
69,1247.7982498160716,330.3873003798711,359.14678261063943,219.94522227250073,146.2467800275934
70,1217.845926281839,411.91076040791523,302.6836518122809,216.3133301455622,150.59161169161007
71,1135.2728621364608,497.4328748673105,307.4426214687379,205.1532715782371,129.59312845061282
72,9364.991165229887,3757.224705771868,1757.3669574978012,1051.388473157079,538.5739282087351
73,14359.026986968593,4931.525520494042,2294.8905729704857,1144.8157375560306,525.4813614027499
74,4543.713094799853,1400.422573614595,587.3049686555221,357.1986339997225,177.22742887639282
75,2650.635027237828,856.0177718031642,855.2342752971987,469.5262186890601,240.6733287866144
76,3733.3154765999006,1590.1192440065201,901.4950747741229,538.5518433417724,256.2502511302107
77,1243.5212844297064,478.996543689153,490.2760433121575,240.91061340522936,167.25664162860568
78,1131.0202900972786,634.6496732218211,507.6010703792655,312.3128252071975,148.73932010300382
79,1285.6250341873429,603.72877723433,447.943274180093,201.52318669359266,145.25499059719775
80,1085.1086386550269,631.7328998591241,314.43648421883546,247.4910076887513,146.24658597840795
81,908.6848871350444,370.6459250682234,267.96205286216065,197.96855605963896,125.96922264532279
