,Delta,Theta,Alpha,Beta,Gamma
1,1972.9760473151098,884.7770975743928,553.7026223581872,889.3525349023182,1043.3728879571881
2,3478.2705503968937,1108.6205887115689,867.5765537275587,874.5677198067531,928.4067000516569
3,1924.2635842622003,1245.785716596236,881.4506534985925,986.8976715765158,814.2338916160045
4,2834.1845867196034,1093.0256271947273,1079.6120568087997,874.1413957945961,704.4300293881242
5,6867.421178887662,4103.875331207356,2777.5345341570733,1322.3310829632162,988.7718374823356
6,4298.176495800553,1904.9036891898747,1470.7205634946922,1120.5141861409438,730.6875274639431
7,4510.370544098932,2505.7629721033054,875.5371216748947,1070.0507187233277,764.2145520995026
8,3202.818403977721,1676.1522776233862,787.4996349727461,871.1158186360421,591.5296067717996
9,36681.0214847879,14119.455652159624,5676.953782580051,3574.472075462657,951.4201645074197
10,2933.982988601049,2086.390805787448,1328.3857018556307,903.2091874285876,890.1969198591584
11,3697.685338534189,760.3835126324875,826.1753342518668,830.8343918445037,796.4112244457358
12,4210.288860013085,1206.6045000754316,1134.7416220114112,895.5219381022183,736.6052752036167
14,4791.3230294336145,1644.7926941724581,1175.2611734278153,762.7084477247712,651.3163486186604
15,3687.2015501118353,1216.9776447946886,1553.8360289119678,951.6429710404952,756.1157729055616
16,5131.562664685852,1291.3386282732758,1093.0336250353914,929.225791136404,664.544946566315
17,2242.268397214247,1043.0499836568483,907.7469009216941,982.8034005948554,653.3471554303701
18,1297.1020217535101,677.5230369847714,879.4747766410467,622.8778300086703,733.3037062726752
19,2044.0232980732785,711.0269906820956,534.7628494229647,686.6982725683336,785.6830270890572
20,2678.2775259103278,1512.3089567680463,469.8106227764098,607.4942183619853,793.4738796278773
21,3572.758549477111,1012.2784126870463,914.0295548766442,788.816395758453,647.3699055467073
22,3136.0439399309175,1693.5149333307515,1595.5994381993623,789.6661625303014,570.8269088206279
23,2258.6411892115566,753.3596899072861,815.1429221741444,588.1657750005037,641.2729797571474
24,1395.4088911085048,709.8183858180682,638.941277484003,617.8306967869227,568.9882461785523
25,2976.1684716932314,1162.4264314709417,773.11088926825,650.8125916589989,558.2482038026463
26,737.3869987627902,924.9141753299995,553.4394760541384,572.1382546395622,604.7324212609328
27,8410.210902359906,4272.883374072745,2221.575088752439,938.685680164402,576.3957619299512
28,10391.96830252297,3061.339054272953,1433.6660037463105,912.4091101285065,684.8685504559454
29,2141.6842235543263,1067.863339601683,546.1013595236889,557.0582437044823,648.3231957015983
30,4302.348650321017,2249.7227507143693,970.2313050574248,622.1219941040235,695.7918501743254
31,2870.2757386277704,999.2493995216171,727.6154846298316,515.7363243269165,466.7612637052092
32,2037.4651927460925,930.127267152306,664.5261098916658,601.2711874501538,503.30021622011895
33,1612.075781826969,1041.8693283706884,685.9297421379737,558.9405290699956,550.3303151215681
35,1222.319331090239,1197.3929436514504,704.3089828878976,586.2451946326706,486.0226480521441
36,2603.0302619371814,1587.9941630683793,824.5762226323325,636.2100688316317,521.3537047248833
37,2447.4704897944057,855.5088029099043,666.8014461363631,654.2228834803768,616.7954994484819
38,3055.4065151266977,2402.2070312008364,1560.637266667623,800.7310401346698,572.5573784184033
39,3914.7792767011624,1898.5283568820753,1648.5904279858926,863.1215770237158,511.9519607041624
40,3480.5020861822763,1924.1826558698467,1013.437663133783,706.4879746704069,476.2262843063719
41,3039.4258747136532,2204.6036992412655,1039.8817956436885,629.8675952159385,569.0524699487105
42,3667.5792152346767,1631.160617181465,881.0635684626814,627.2255687355299,481.6276381339785
45,10037.579073251707,4324.91535809315,2836.044596977682,1045.946894856815,644.995159630213
46,14234.019516065451,6539.65373157103,3484.0647014607566,1657.707510271069,945.2170024385235
47,17143.813374693185,11663.6127240433,7692.734229689371,2167.073410977652,1025.9064824760806
48,8482.583795054352,6585.021221361041,3377.595705343118,1397.127868062395,892.0536698895563
49,4940.776382284916,2822.363158936602,1942.2003848063664,866.06774102899,478.7560369104398
50,4354.984410794771,1570.406842923926,1768.2385219110342,921.5545568562252,525.6599385880061
51,3591.8573575261607,1813.369636865575,1577.6756651112255,737.4654505067417,514.7967188777709
52,2577.8953244833165,1787.2240046914728,585.0229598726371,663.4962668532326,409.27384074550025
53,3868.4325598363307,2062.4535337122456,750.5450630105403,597.7394531469449,494.2920499875485
54,2175.678902220681,1394.1911403253337,721.4180388331863,548.6220295153427,491.4908246069711
55,3378.7355920155333,2325.6617919868045,947.7809813663309,503.3036598154178,440.01971514272054
56,685.3315441406476,594.9262922452415,517.4732665651853,513.9493666764537,338.3763738098778
57,744.7459829022459,462.5902302520056,463.8545264106393,467.2719581308337,357.7303804135875
58,1930.2493580156015,1237.0165505736547,532.966492409298,430.7216554815717,416.86870536766315
59,3215.6659148843983,1726.9795587292883,714.6208235669798,427.7008506131747,334.37675402822737
60,3609.4566532572703,1498.6369819253266,1078.197955300387,586.1963186269388,432.8938572862396
61,21770.523327957217,9281.093874051405,6822.181412829768,3301.163594650703,845.3626529832379
62,4373.171930806326,1549.7942237301747,1426.8623617037788,1030.6027000645227,512.8603226573388
63,6469.367854859476,5194.8879977520555,3012.2147358872157,1328.8224860261146,884.3848769095194
64,11094.371307240304,10389.676024198383,5915.687970104818,1778.5429818729597,1020.1995415145419
65,6047.367960903265,2879.143965668221,2124.7662539844364,1137.2962526054962,515.8672741100361
66,10590.699194843677,4195.3283423426965,2237.4554083814814,1070.7338886885634,408.79611233797584
67,20778.79104438447,10480.702272337943,6495.739990491076,1786.277024379179,730.5214484267364
68,15583.498060355068,7291.8675041122815,3235.1577190592425,1592.9241272352112,538.6278288243408
69,13654.001222460874,6366.992123519421,3277.583210223461,1190.9371921568702,519.432484971317
70,8213.746862532575,4879.37309002069,2254.0662120328584,915.4705812854515,560.8832440033489
71,1124.7516582081057,770.706138168961,526.181377063637,387.0730300543367,328.74670565578555
72,1323.848934991242,1189.9659900008373,890.3882813078478,511.82602401545563,362.79669790276483
73,1507.8625184454515,710.0335462278042,599.4910654037475,474.18921612630754,529.7255698788622
74,1534.436271947435,1217.4796055423017,725.9979781105064,431.1940069344813,367.0050387039123
75,1511.9563073701256,1139.4160908558947,587.4682574855173,442.55196270400705,406.6831063509161
76,858.787518814639,628.1680595497585,530.3252113674992,371.1469310196807,395.92217802468474
77,1880.1572971706796,1124.2444663546019,481.1282459818746,400.2443865234131,354.7371956152223
78,566.9240116203479,481.7798789252887,298.6617384710287,330.2634701589527,312.7063180815966
79,2401.595823042773,908.9233093345529,734.4947762830075,459.88329367041285,324.17892256858516
80,1275.4686324100296,530.4218590689458,466.812783991802,399.61234784684785,298.8376344236853
81,3833.9654923196686,2074.2312760483624,1612.8401141493223,1036.630761737108,688.6491578397518
82,3867.909881925081,1406.2909997449042,927.4540934307095,493.71025577900446,326.24492848144985
83,1470.4957842161816,1365.8765599392416,621.0549355502192,348.2811918428369,257.8887378937006
84,632.8752203048892,809.4574665148527,462.05209476071695,453.2344618069475,360.8909522983506
85,1055.6022781466067,941.5315125308571,501.1621161079326,394.7237810928786,321.0067490487811
86,991.6476012523333,735.4510542049886,324.05375262944483,373.7989740858024,262.4093648414551
87,1345.9175823679898,917.552549023622,550.5578097066394,323.86872188662267,366.7729473560305
88,533.879179212401,343.33166196815324,324.154837045703,321.10105116058037,262.67011103056996
89,1192.5205141960535,1044.0684842939695,514.5733933531899,346.06026147255,247.2634989463297
90,1202.1759437546316,386.7739675262509,364.054432289016,373.3161802069476,277.98878329463406
91,686.7678534259084,214.04274099486332,151.7618762508965,308.72187227143587,276.0040551010461
92,5767.975003999577,2395.120555712164,1257.6969083042397,616.6577288874311,337.4983848746599
93,3000.2373762508078,1360.519224256351,646.8415942367878,467.5614143711555,249.44983187139968
94,1590.4422735065366,373.5732019423609,321.62688703205777,342.92704886734293,264.48418133560835
95,655.1735400478055,492.73823237029836,351.55356900680044,283.7816498899235,329.93295002033904
96,1231.6211340088976,731.5014456230723,391.31802184385015,310.23869205768307,338.7692805813327
97,560.0460371907927,553.4182598124977,248.54852025523488,276.32634044930495,268.49027667966175
98,571.7375329227418,324.7548452507244,339.00384549368835,348.423514213056,321.5390459277629
99,954.732036395967,653.8428851491997,433.9429458197304,458.413973749834,327.4401550657682
100,1724.9419567414348,993.3027358564243,585.7986585309507,379.45098133879867,270.82526561368127
101,843.2959988162258,532.3799221902021,396.3052435509739,279.7062820077674,212.2902267084971
102,1434.1182428839643,898.2202696386994,606.8673791226138,372.955067069178,265.7379655266074
103,473.69762435326027,374.4437120593112,430.9459004433068,312.51813818907357,269.6461871645439
104,1906.5167477785744,1256.1250781772856,954.8136982324107,488.16924752716363,348.45993322717015
105,1690.9208728035937,1230.9505197669682,689.5497985038002,477.3132926748305,288.8469981567546
106,497.74627201857083,297.84858423817195,400.59811934573514,299.5182909017391,271.4611383229118
107,288.68560637816165,529.0831577409651,304.3506394891346,339.9077821189581,257.964290991551
108,450.7065118125603,462.92447201910784,337.7210373594446,322.65073234883266,236.198343134796
109,597.5987387484008,536.0470793827162,316.6704038693821,267.7671813599024,282.50649367608025
110,525.5413862789799,558.8524028999542,223.16237875700662,293.23359506702985,311.8279583804466
111,926.8755172944865,570.2024918648702,361.38667426922194,342.8756875879793,260.5712765984335
112,1891.7226044517552,617.815638991988,438.33989727718307,273.2436784122918,305.40809477859307
113,594.9761301146548,487.9696570487257,482.8034753814389,267.2881075659128,256.040852257902
114,744.0143035843452,510.69770538369187,258.6542079891529,345.9978881866605,276.1294566662726
115,2079.8955563101204,1066.3979081781088,441.4329380739463,324.46575524716474,321.455136038493
116,1864.7114687671785,946.1118333031097,685.6723315447568,373.66152791463617,270.80874578174814
117,3113.3759439285536,1342.9265204710478,710.2410407208434,421.2304727629804,264.4552611449508
118,922.3539601013358,442.73093444522453,533.2295438937047,334.00802601589083,228.941322025335
119,662.611920931188,327.7391278733884,387.7925875575664,333.9055156181697,268.91650827299657
120,1754.0014875632046,1142.4374894402501,593.8030597455255,350.4926461765226,226.02375720463226
121,657.7784474245017,605.0568192639269,285.59413243998586,287.1663996749804,254.68757301661051
122,735.5180431099935,441.0334795678783,208.20248003850475,324.420884665742,288.60614286728577
123,348.1868790356143,512.9264911466587,389.1432598430884,316.7485476127154,216.57497364678912
124,1542.8930133240303,991.2037206042281,575.6230924487066,286.73763030213416,211.6632687884238
125,732.4674789331852,422.9695912018627,282.81225432413197,368.4509472256749,282.570347066845
126,1587.2140749902542,883.3349907237546,492.2772876981556,312.97181177509947,212.7594023835947
127,1097.0140075262914,630.3039926041872,390.13145293243826,315.0940122551961,232.8505650160922
128,27621.650257644425,5961.957542195222,1950.9382459656385,955.3548086868838,600.5559169559193
129,50662.41260581213,14306.907422341475,7204.842685585783,2881.546132160243,2068.0287381396843
130,56257.04276374138,33819.75818418125,18583.020826194897,8138.903020091919,3693.6308695477246
131,66594.07207709238,17733.58235051383,9646.28706976611,4623.2741257792195,2451.927080423906
132,65867.50085402242,30614.689659874035,10518.46261640712,4713.932133397781,3209.215167701286
133,68001.14573864601,24398.652508394513,14408.141998218372,5834.008168590102,3965.6604503277404
134,25526.716330592437,18789.26603978209,10740.075982845596,5200.420021903898,2992.661920381474
135,14189.702985254105,14434.448755452715,6901.266437875231,3355.5864674381482,1247.5572877991242
136,5509.304987024829,4376.6986756667075,3809.0785532949885,1750.7344920717778,758.7245972190161
137,4439.32150458876,2209.043861958841,2105.9998281013027,1076.637928222713,741.6106753718312
138,31435.65388926432,9935.252437863493,5457.216944098786,2389.6541573459704,1410.2104270667237
139,8026.003245289664,6078.793203210132,2633.352110994,1155.8836914241085,662.0964331352868
140,15538.941580093666,14468.236513187638,6237.8963412724015,2514.4521049889727,1212.5425892419596
141,24174.572106000986,13779.928805022651,9654.233339616414,4495.686691437961,2220.9206000251675
142,39482.8264645329,10939.288948932113,6110.010331558459,2531.985851649205,1626.6694901406804
143,52549.3104571656,17648.096111369647,11507.20295716604,6119.990195742453,2542.346567256806
144,33268.53344600238,12317.841686617643,3040.964757115706,2436.6785659049347,1483.1959267156753
145,15861.511036905898,7734.746136230507,4584.59369779413,1588.7811709584712,700.6964825045759
146,15784.145740841,7103.429834205072,5939.233295345278,2914.236469340873,860.505458050973
147,1523.5266485708958,897.564595299605,772.2558379405124,475.07160598953084,344.65510812787784
148,1983.3530559722374,983.1395591904609,1301.2969416692747,488.4066501964733,416.1128978117413
149,1188.5276228718092,1081.5055459741538,792.4239231497106,503.4841688048519,451.43217596543025
150,3485.6538606506733,1685.7163348004901,735.0164291093612,628.4336371960216,400.8865527771561
151,3125.898819003216,2354.6793938193287,2078.369694442082,949.0154291157496,463.8775934582889
152,3497.66577776568,2746.6869808453243,1890.7464148349732,1135.0075830767694,480.690258558947
153,2855.8945945822074,2150.667031877504,748.339707752791,590.827504427185,362.8036380132372
154,2230.659317917843,1226.1565067910237,945.0088898738559,596.7332947682107,322.20319568341745
155,2690.492828587612,1418.0705192374076,929.174376923612,583.4920947881419,266.60943294944343
156,28089.67474625095,6219.404269515977,4020.134545455552,1504.771594325998,679.5457679144553
157,7087.897170598311,3767.033111452135,2024.3570452623092,980.9011652797928,578.6081267830023
158,3327.578763906289,1951.3916989530003,1272.6474380508166,696.5697477913366,544.3008991142158
159,5131.038594578281,3346.251612175484,1501.234430565789,619.9673640726878,545.1051589862052
160,4205.087490304984,2843.484243042669,1195.7349894527408,724.1643235331169,479.54773702975086
161,4711.289742985158,1995.854995863494,1900.680312554106,754.2139407976159,510.0263060010349
162,21366.213697741612,7802.402455069234,1996.4104861187436,1327.1908943872784,548.0798401317534
163,2580.944666623369,2142.7704371035934,767.9315377571268,491.36190416032196,472.6778008929528
164,10038.18874142371,4183.387637477448,2148.3753362816738,1031.276304520057,622.6404199959766
165,9563.739642873681,3400.381931018411,2277.412750008706,901.556938156082,630.4339774497705
166,6087.499219965905,2972.4618496152643,2963.484991703465,897.099229971259,596.8810756356073
167,2071.504113400234,1184.0500387633244,1139.7777505673107,462.4605917867144,435.3233182249053
168,13172.210203429331,7332.7335248648815,3303.5155623269884,1674.1114869742123,666.1808291870418
169,8293.977240896542,5433.29536977861,4655.797449668893,2083.6665164269684,600.9775610035186
170,11603.382482325753,4731.779322027351,2181.303670532333,936.3147085424154,580.8733095301604
171,7299.459776592883,6282.092612282951,4468.239194019883,1014.2464218160402,477.20917332196245
172,8157.354303025281,4678.501031270859,1870.8781373075294,998.8508512400431,511.18500299249115
173,16678.122131972574,6347.525365509797,3359.981160359258,1160.367710968169,473.50134388039487
174,3641.3554419913953,3290.539271458737,1540.7519237067174,636.458755327679,458.7946562657041
175,8847.18365871571,4041.23745733737,3022.0225358464063,975.4985341602427,612.086415029708
176,5497.4097339595155,2550.357272786696,2142.5681224331775,827.3433593582489,509.6441356341606
177,5502.958879415213,1989.0195392379512,1017.0033505773621,584.3834208804975,493.5035502994074
178,36082.27988693731,7843.5272001366275,4256.094325499581,1619.8100490497338,1159.9599200621278
179,7280.500132679038,7357.7365212171835,6716.710511093564,3556.4738772628343,932.2945896119301
180,36413.808043952624,10647.897980874814,6269.145556441021,3010.097795548571,1643.1585174402774
