,Delta,Theta,Alpha,Beta,Gamma
1,644.8900926200656,603.1600861392504,315.0432798927317,115.50765799797294,105.63948763189207
2,351.34241321644527,277.92219417622124,279.7315149062022,138.83949665743964,88.70174722087282
3,273.8945975228558,285.8342103732078,189.83989060161133,104.1384279131698,87.85457321348873
4,1483.8124414186843,622.0451856281978,223.48830736401231,127.63482694120046,90.39322609335754
5,232.320116900345,205.762303146387,208.08119061970507,138.7664042737677,113.45427625389884
6,246.26567531668627,244.81512322932932,146.73364048417972,102.6532354812388,82.61022755006218
7,225.5844539326129,190.68973927072088,211.70313270971104,95.22450402022808,66.61014822399235
8,870.6123840983205,281.7061698628594,181.7443885553586,125.75850346451905,92.85318930779756
9,241.85009656222832,228.79615017163368,144.59531618477786,87.49564914420544,82.64122709183997
10,274.93187802282984,197.87432112399162,138.3701316215496,102.72594791514629,69.77785856532418
11,515.3789568073728,240.38301476367275,152.22542668210056,119.23144807877054,87.03838028114458
12,231.64210498096796,196.97397353020682,161.4743041702246,99.3799322974347,82.33445337387474
13,260.7522057996871,188.50358644797228,134.23230515424657,105.66439273227108,78.53054823024306
14,241.44835181071969,155.32824775592022,118.5497378959943,101.14352818762165,87.03018354807497
15,344.67123076306956,236.0963775550229,102.80488642455983,96.13406253799246,76.60047126762609
16,182.83030196683282,242.0384913675801,171.10136086340108,102.48740365115601,88.10527757420033
17,221.3839169617822,206.15869627448393,179.1856268695705,91.38757015297843,86.76343764210975
18,433.9634504183108,252.98430370784962,189.74187231768437,102.34618221086953,82.99932821651083
19,311.1664694728342,234.26962726405236,171.6991430248362,96.43835238924109,92.54182936905849
20,207.06115635415188,239.17895857947656,188.86285447990582,123.72253187801334,71.09950522000261
21,102.74456720925001,238.3981889940103,188.08824847721425,87.78482028878993,79.569002738705
22,105.84000992508419,142.74025302979248,120.7737121180508,87.3666498247799,72.30985290051316
23,414.1176590727373,334.51139561016333,182.6406873155367,101.1622134828938,83.1963837940826
24,188.32408605338767,229.5399336778797,141.42645169484214,101.5870331966131,83.57911096195801
25,873.9786970949415,269.9449182378527,137.4257898274678,92.77235188331854,84.55078636565644
26,1017.0559535637192,404.2726606787638,150.3998597398179,135.39533135888374,131.75314433390665
27,582.7022558103201,253.42419452284648,145.96071209740157,125.57778500850964,97.78153161968754
