,Delta,Theta,Alpha,Beta,Gamma
1,466.29803514755565,253.63955469903803,212.0446609004971,149.82612251103026,132.1168817362245
2,1163.676373003641,967.2961159276216,482.60201718181696,189.87914061493296,136.65677813572836
3,715.1662537311577,347.19625596284664,232.91217618301994,141.7657693198628,120.71002602615843
4,1622.9699334761729,515.2927570442005,193.06592971342977,159.56013801493864,128.5586982175661
5,405.27856664001854,206.23061349258592,207.1807878535892,149.24905761661185,118.09022920533877
6,583.4840120634456,287.98206487753544,223.7564385740846,103.7570434881006,122.11084316877765
7,367.3995384616053,166.56176318130662,229.89141416532055,151.6449588041368,113.19939720191111
8,382.65616356543967,295.1733231521077,239.74658266507262,163.0284822674057,102.450452297089
9,566.5965683029516,234.5696469129104,152.4607994825058,142.83458754704998,138.46415005068926
10,680.3917689260132,217.63374538496282,157.29181700975238,148.1982556630579,88.69466808108257
11,522.8616939445545,334.21555614427723,170.61210747460288,136.64767653923064,96.58416874167376
12,320.7418231795673,218.11345103609352,237.24092785887143,156.2846242458098,91.56689998529723
13,466.4914788743414,296.4484486494033,237.04501695978115,119.27170545182774,131.40332234017376
14,458.5374299526869,255.6433002878428,153.97363770082984,116.5592663161403,125.55470344336476
15,506.5519865293538,336.86374476289177,184.2633960410084,100.47019118932981,94.7393288985256
16,329.89835565983367,273.57142202135185,202.7268117140311,93.36028920068964,113.71346585148953
17,364.62795782371256,292.9538529411557,174.33752929886973,116.21705125230108,144.86673552243474
18,522.3632408806245,368.0423244493122,158.1888709146509,133.40862810879597,131.69556205048423
19,337.1887944156652,136.32798623600684,131.40245006149127,130.07148746866574,106.38835600968653
20,270.7312182020603,144.0319198033354,115.28479495202222,143.32493328064012,104.05778019133392
21,183.41588154946012,255.04347871280365,162.88102590226822,160.72816146001645,103.09031916065314
22,283.651500449246,170.37931272073172,175.20035776136882,93.79693487670637,110.84355537933685
23,313.4848507281124,209.0093036678968,227.11839541039785,126.62827606488544,128.80364311953286
24,463.94092160413857,318.9027533323829,146.1670478499962,98.90288597010968,100.4398400174617
25,405.5523798397322,230.57342104216073,180.0554077253489,129.01202258462348,106.98301868633601
26,427.21575627663157,175.16402467019972,199.8932817515607,115.08244084124355,122.30203460998926
27,472.7800915684202,218.23154570796177,247.66193857813178,133.30164830800354,128.47476330728784
28,437.15337578049144,356.1280777498078,203.29846108737948,124.65988263515037,126.90656855963746
29,552.9944193479763,301.24863037933454,170.66623982046562,118.47169253016199,113.9409957253155
30,416.2364352313708,317.15222659712487,154.43789216951956,130.77709057972376,112.87082111853525
31,139.02062231575528,110.3315424229265,127.01491509300263,127.71982993344709,116.1952396481883
32,563.6581078312546,316.58784509231634,198.03759627223326,146.21770657339158,103.59759157067589
33,699.4286079083213,310.118928894228,138.20740932493086,133.67752408876925,134.95967998358998
34,520.4651592282526,320.24147272843766,241.20048171654258,108.96682280908209,119.07337887317345
35,366.98628618973595,230.0583248009395,156.1394398263102,163.89412707018215,124.0148463515873
36,360.60202202791316,259.99996445910216,158.40960737814117,102.38561986283385,153.9683009774161
37,302.25961122899355,331.2673290301812,242.14097004984288,108.11822006436284,100.97640504747093
38,491.52925114628874,227.10307186032992,111.53735964192265,142.85176636205273,117.4004140892736
39,692.4707779118028,322.2059609993164,187.99011158039247,124.19936646172906,111.81663560169162
40,531.7532166208315,281.0830153286306,187.60044475602348,130.97844994850925,128.49453061209505
41,778.213936506238,384.43214473046385,173.7826480948352,129.23503733514926,118.95623903325033
42,854.1243506582351,269.8897670053058,214.0368670573842,128.88513586865542,119.64565797095081
43,725.6014036702925,347.81712250612435,173.0849143952446,151.42253107053335,147.7147926571661
44,760.0957020350853,398.28913694609173,193.82201781934592,120.21830400305922,142.28781470577667
45,744.8751251823535,439.47771409682827,208.25436551479862,124.92983215917754,127.38522150881249
46,371.4802102245532,363.85938478245635,240.47008366718737,135.4853852318904,133.09710488169256
47,374.9986862115447,362.85706411955664,326.39717460456495,147.13116810134937,113.71106596047858
48,664.234325056817,315.8430956298553,278.8098384879945,154.93432735722936,114.60493766851715
49,641.290415583095,222.01132572397267,203.18008210447528,112.12175663769428,97.74729611407497
50,318.3571902557899,204.41450248225846,201.3240420725877,145.40006974973753,123.301088196916
51,430.2442523391584,196.9197937934361,168.30442057838573,148.67386564477331,125.23966695508423
52,568.592767311963,380.9468932197484,252.19846630713886,156.9746782324054,138.50608532353397
53,1304.8033000389976,429.83236542548866,212.84367529795435,141.7125893909746,127.69012685403783
54,708.4086437780791,289.03861224889,171.89773327215653,144.44633185320154,139.19557071171397
55,540.4735700128588,271.9774731528953,224.87928788258827,161.47279653902007,97.34424581929338
56,510.0874296585986,266.53781863143604,216.2105606049288,144.69162000951556,133.28006222789554
57,287.5074780394713,220.6319408581137,220.05487588840083,119.7206693050315,122.55945981901361
58,370.8352461578573,330.5022372297074,185.21570180848863,117.80106950326993,123.42167066438827
59,285.64520647339964,343.1366200265722,174.12237044640148,134.5148427463199,107.32246967891668
60,180.68002004012183,237.51204375872584,165.42131701243744,140.23634249427994,89.04985320023364
61,573.6003703333694,274.13214556670744,229.9623952322608,126.05842144070073,123.08802751545761
