,Delta,Theta,Alpha,Beta,Gamma
1,801.7471051229015,293.52626990942207,213.58907679240673,157.76008212991007,112.10956438843783
2,468.53540637202644,279.91549594067493,142.07233425084746,139.85174677788436,100.27124357499754
3,436.01881930944853,428.9742917317976,271.4951370181291,197.53461536727656,78.00427288894858
5,1099.5803512847956,243.3368047159551,255.34337127026592,167.07736328550018,105.60304831582549
6,683.5245688300314,525.241254697257,173.14084383812286,144.93441302952579,104.66436704581017
7,509.73228819604896,324.44447224235427,245.6828609759551,169.5630371449663,109.21663416089444
8,781.787871471964,323.5523654022471,222.663998146424,151.71814821295706,88.88302994441004
9,520.2039853470387,149.65061307894553,177.7466555871659,171.13034967652985,108.16494780493636
10,282.6923469053694,296.08800501783014,253.06020389393393,131.92517007334706,101.56428606955942
11,757.3108007411652,314.1884693228232,215.5173570031781,124.15555333605793,84.10450668085699
12,777.8599828850322,446.63327858879927,183.5048659670259,151.81207346632678,105.44417284513781
13,462.40291711010497,252.84688439449684,164.56147875083423,115.19514708207198,95.2811757318702
14,518.2935777405258,311.21413902836105,170.12894908731843,147.7804225612607,100.8363481790991
15,406.1141482557089,282.58483145324556,202.22082887286592,118.10634624777101,81.14394611841956
17,359.38901759228344,218.5739941801367,195.71230226297885,103.36876308447539,87.25401365652759
18,348.97899480336906,174.98231955322328,182.0714065149694,146.30756847497796,77.59409157591719
19,375.8987790326471,303.6619729557341,250.48403099245442,135.8160436818816,85.83701789569864
20,847.433186913182,357.73510660645223,275.3121726363012,160.97274404585934,90.86316992896016
21,539.4713641235845,399.2095589952622,233.10875343112502,109.69648104210931,118.45139435915966
22,561.5945260957913,509.911747760706,152.62122754537185,139.19190694750702,78.88748036133374
23,802.5584566314978,365.8230951745768,165.77166587683251,117.04225938193241,79.25931644918462
24,501.79687437173925,324.8599778469951,300.0787155627047,141.00096238479787,96.73882943002121
25,489.3898710225186,309.98242397028025,133.20428459170154,137.97054850963028,71.86345357767635
26,643.0384242772031,373.8914768634934,197.8860690088518,131.4124031815317,83.04445448548935
27,558.755478884979,258.99324778347074,207.5382094107271,110.68716749286743,89.12655322805492
28,476.6473221491499,300.1399053358508,159.5894616285411,158.52325091380234,84.18289494641894
29,544.0211670067831,379.9413680775107,168.685000612221,148.74619489106485,109.70446878080288
30,461.464438080262,152.25862727252274,133.4376516789966,115.5371700129492,106.44202397364128
31,481.71894684471545,250.44331169064031,192.7884063960244,134.2746941327686,93.53403597134104
32,585.6797698188531,369.5828933243888,154.6914065047643,113.98476543460318,83.71183016011233
33,427.02341629893226,300.41178887945955,213.90669478058626,138.987012765147,62.366258468717305
34,588.6762355760906,483.62958363790347,264.977241644244,117.85065545336451,82.64073247167447
35,647.4207404593,191.6779681007538,191.6900213522568,186.79068274029612,69.63289885243958
36,799.0121735885124,272.0241101318786,191.08593265438057,154.2780090616718,97.53184499132792
37,484.66153429368626,352.94535747212393,187.96026125760366,122.23745680777763,76.5724000325734
38,892.1781860896447,398.35186170987225,220.9771986814742,148.33393449972894,87.13389243802976
39,365.7780227073762,402.0617205279642,175.74056048783362,142.9827380041642,82.0438722336877
40,504.59669347917014,393.04867101797026,173.43603540926628,112.11945916798078,91.27112304798956
41,695.5796858236617,336.1963631786031,169.94921634497217,151.9032691623807,66.23342934004573
42,181.96067850541033,254.99127472055028,193.29454525282657,116.69475566985045,67.99445217962685
43,520.428037801286,301.0292902954084,146.5615589027979,125.13562520986986,67.04523723788824
44,342.144644396481,304.01075546742453,162.53122462418506,140.67758792726028,97.31137247888202
45,486.5310724379006,258.71836576931,243.8670894774321,167.21158658801804,73.83071103151389
46,246.6090083609509,126.85851635706254,162.94371901344147,131.8108235695689,91.32149949232016
47,441.92013982979495,298.5206338192178,172.30590949902367,120.27091265628238,74.19929061022995
48,1264.9203838832439,580.2584429038998,238.46617743070288,181.27782627237312,90.68992196896264
49,959.4066354938202,671.9961033129337,415.44038132220896,120.21410892004901,97.6008212780217
50,756.0828417210259,404.25967100056675,287.0461269147407,127.33810234060866,79.12890218105505
51,453.2956466865507,204.15296467072812,169.02253912627916,133.70558239517058,71.42901825426107
52,434.1703506122566,305.30074512588084,186.4787949045857,132.40006465649185,89.26216502003581
53,376.8073196298047,187.28590371236822,195.11987267061437,112.20145727066578,89.55357238530858
54,511.6669838487661,225.1978284900403,193.21373367433173,92.53757156403027,74.34434833430583
55,418.3405286920097,310.6523464081062,176.44985733944048,106.17322171321022,76.14860803709976
56,436.5227308711155,254.7684537477845,161.81995834163584,110.35722397883434,93.18742701624461
57,248.2323906033123,232.72569849272722,137.91781974332315,113.58221822395812,92.61225735751479
58,325.07593064452277,236.20265101763707,162.8563423265664,104.13520660249571,82.15305053379723
59,286.578556507492,214.71039996802764,128.09562304229172,107.02483222533924,62.7625755672661
60,522.6127478069811,191.78350788804954,123.44909016973529,107.3241773223666,78.42175288220038
61,349.8588633341085,267.0438516743412,124.1388351365254,122.03004630905836,83.67361706785348
62,315.96467852184617,170.78459907635892,138.7113284797172,106.06280074647742,77.45467595224257
63,204.06480246155184,222.99546856876788,177.45925872503136,115.73674788837276,74.53018528961312
65,333.38854511980304,228.66852354871912,219.55479522264562,121.70017505611304,92.47476550631012
66,352.3492981822276,211.25056200893164,144.33517557762747,118.44630821782965,84.12565229223611
67,371.94620480383526,165.03936590838165,196.44166331898964,121.2120434873047,111.01619706647423
68,397.479891366802,176.84562549113153,166.1095014988744,98.19432520376864,73.397146532975
69,1500.3035640796313,653.9039139635973,544.7790520368478,235.10981557390713,104.51102493236573
70,545.984547419621,233.26803643121997,211.28634640200517,146.20097934407605,83.28618237791608
71,356.6105408573252,109.7775586338962,175.96965146961307,106.7800626852198,86.08411100433267
72,153.29414180238646,177.46238296103346,92.76480226755282,103.81331684898677,79.05208578764109
73,414.2169080371536,266.46290896913274,179.5651218474932,114.9961564631257,69.0521802855801
74,640.5773767354644,305.7209653085982,206.06643819577275,133.75667461201252,69.7381479064874
75,552.9325055422726,349.50265264451974,198.04309868335548,121.68739293101373,89.07579754778459
76,677.2149369686656,347.29559201765784,162.47877224199232,118.81870615974137,74.08782637968324
77,378.1181967761723,284.83694626502904,162.7328321395359,100.1542827929974,80.26971635630086
78,441.582164615774,173.95010906761178,108.09949778837242,107.50620735330833,85.80502591482251
79,337.01427039130397,298.3347229918528,177.26397845216454,92.72362936948514,72.818818841297
80,372.89367531882795,187.37425001341435,119.88279304944881,109.96833021145157,96.28814283764761
81,609.9776126804562,283.46468890430634,222.81238360916686,116.4078512557511,92.2744944866252
82,409.22393096588274,237.17039054786719,149.95363167826784,113.21013154392054,83.03739993003225
83,760.0049861574723,396.08343760903483,240.49765208283856,135.1781752565617,82.5015264375476
84,280.23879209769717,148.2022074805021,154.16679392144457,109.98652276762397,78.58389452688775
85,738.6526119498378,451.1246604010861,295.66427249496604,160.78162942601267,104.20931151235428
86,499.08607156486187,292.9095651371467,221.92345949942654,151.99193661660374,63.18618154183715
87,581.0449079145757,275.09261912424597,114.26183140241478,129.9915835744195,72.7669109712874
88,467.9574763415845,348.93413732831925,136.47025418523924,117.18239891268692,77.02052910710546
89,649.2565729664334,214.92384272844885,227.9113349839291,123.10504276500849,71.41403954945709
90,564.5842116229576,340.67354187907233,187.3057309943216,132.66850464969198,98.8275381663101
91,692.1919385558355,842.1079690077871,746.6920786596747,272.78273071786117,168.34388200645446
92,6037.3013266756725,2321.1917668840506,1108.7372534172075,583.0304055861055,302.6882151162638
93,195.62425751071657,239.42029601991544,183.2042172944039,120.88558494515081,82.5385415599087
94,601.286745575154,294.1676994699352,112.95124404935818,122.85929980665098,87.94508878833624
95,526.8050627987332,505.27519767616104,194.6226290994976,130.37818486546124,90.62902960341029
96,612.4727070368053,411.0689691932754,209.2705207215094,98.5527283002214,70.47978549844872
97,673.2239713559215,277.7690344640549,182.40695517260403,104.47061073772932,63.667424086125344
98,447.73988571056094,269.5725486319394,122.14156155705936,91.72685081771462,78.41018339762795
99,269.90232418313417,172.91249365822782,157.31811842818678,104.48887511286388,84.42582124637684
100,540.064157009285,277.55727959185776,172.41185069371136,116.6936245592537,74.84317665304438
101,719.4169669713509,287.69283386763266,242.99845916733088,130.04870060165587,89.44886217258377
102,454.9609898610482,263.76216005121717,246.4117465004872,126.25675214651108,90.45760978067881
103,440.3912148074207,265.5900470174459,138.55443873981,114.50088142035302,74.6398604289979
104,405.4002208427586,224.9129888316043,131.69127282351764,116.72935995756602,88.56805766330723
