,Delta,Theta,Alpha,Beta,Gamma
0,241.76420464336422,156.55314606686125,129.18671879354702,142.81644148328436,120.34177668442524
1,1380.2863890115343,672.9497685574952,349.5048889599905,196.1655160175713,148.97357474765425
2,444.7487377861133,302.80122098935396,226.43314442110233,123.18235017158948,143.039336305721
3,399.4559165747916,268.88955693960924,244.70055115400638,118.37155873339144,133.59585636844093
4,256.42730328743846,245.73599524305368,136.63844718925236,151.82943435674233,128.7131932696932
5,539.1536178446777,313.63336960969593,240.37321994273643,160.9242749694772,125.9523765120272
6,519.8713859384033,244.8034534000849,206.44005074957053,132.60793689916412,121.6821832992467
7,308.5887340792273,285.51786840879265,198.77069850954481,164.91813384319573,87.37313981029499
8,206.16623914987585,200.1308666367517,180.532029910365,135.65527580406967,111.34699121934311
9,419.06994978963786,151.1088437803503,143.68922011684967,128.92127639577916,127.98794778657665
10,569.9626904343455,195.12354917297057,190.97745485478802,137.22776554189556,105.27974239728815
11,405.29169192756706,302.29413739231086,289.43377420185413,121.19513507964243,114.10954136184387
12,347.90592552452347,105.54447669316896,177.74180309873176,109.51158634921904,113.86271573052457
13,329.34720257462317,238.4189960816671,197.00565120301334,139.84936022173454,127.58304964169258
14,349.30859430314473,265.5360279044889,157.6311359337112,107.6558999119448,104.51513219028064
15,585.556619292365,368.7103025348212,227.42214165655918,150.50973816743323,96.16710497555218
16,357.49446620807356,382.63689778409537,173.09839028797688,117.3412078784802,103.24480987721421
17,348.7786868859902,203.7902302560969,182.57432387707695,122.55344920115735,77.87477293757594
18,276.34741193807423,157.1221210537179,121.244243857202,129.86651918378263,92.539875228564
19,547.5646272007035,305.2115538636737,97.81601785055841,151.12326349993901,95.70132701427448
20,461.6294115081363,224.85726077371297,189.43456807562862,113.37535513171066,80.32924170310615
21,322.1871412513375,281.06731704435754,246.44682984983282,118.34882362495605,88.96377867680417
22,363.63157467682663,100.25568871100322,159.72406853623065,121.51451571957747,103.49420574297632
23,325.9738774464318,170.66622827068107,224.70408246633446,130.84416478900636,98.99287290367269
24,202.73882453980337,229.15948460365547,131.42051333652316,126.2245649178981,97.05258325336827
