,Delta,Theta,Alpha,Beta,Gamma
1,452.42041634913585,196.235160217277,217.45928118414037,143.71903788401235,113.27591315247976
2,373.29581451858064,383.4658688694428,176.37324590982846,122.19963688623378,98.4067566627088
3,2328.845253001303,1003.3674626684387,147.6103023170628,134.52723085974995,108.090535379436
4,1182.0790263787353,672.7003297549993,471.1277685443688,124.35757203228061,110.207528640276
5,705.321520909573,516.9397549365506,252.97352713173518,128.61258000294666,109.46158530800898
6,831.93495723309,673.0397161438707,363.5668021321553,117.02644865284569,110.79235629081231
7,464.9394843384026,225.8872209668275,180.83073532374425,133.69946729734826,98.16253482795229
8,286.2723640326933,269.98201977684226,191.29092144126201,145.31776565439313,135.10908565574215
9,790.3854749672033,719.9828765750373,303.73942430145894,134.54964408683023,93.79640166656796
10,341.63637525119356,279.1571355231532,175.95961786326706,102.66933008225115,116.93815434319599
11,671.390235015886,524.5071254611373,280.4068265566813,141.38311724770438,116.35233357341976
12,278.40644748068763,184.34977590159664,225.05731198042426,118.05216677466845,112.06453591577957
13,778.4885698413111,459.85284854005675,362.04359361640746,142.91952618703047,138.46285765245614
14,1003.0892861231412,639.4388321111862,311.9616446956499,234.69625307068787,165.59117134890158
15,681.4645678313707,269.4892221322095,160.4377414064442,127.79069898984821,126.61034256603024
16,252.216166600342,208.67664849855728,212.61466829645488,149.67561106966133,123.19567756422842
17,185.4046522626594,219.51474877629403,178.44463650129305,117.49388088996949,117.97546538042806
18,218.83908233775412,212.80899951539996,125.2448571499662,140.50767598818837,112.10154730771937
19,715.1926568815077,570.0807589922382,289.9370512365697,133.44650350543546,124.36403252698585
20,402.83431645566054,294.23376876041397,151.27225782041097,112.69799547356324,90.14236810723244
21,938.5777333524223,703.1859349786927,356.87879361691523,141.28274924862836,119.09051220143462
22,326.09300607978554,288.4913144897995,196.49720680720617,144.26870540252463,100.40491821263757
23,1352.5170176771928,839.4715830682741,281.3822973941104,135.64184842713414,95.22251510311537
24,1256.077906777589,847.2425727506746,294.5250508325036,139.92341760658826,126.55137571824393
25,374.6047409917319,248.59905451723867,212.4414486855228,127.66065698135478,110.61242173144294
26,402.8684527188956,257.8431478574654,155.29010530991906,96.15927219674762,139.4666580070471
27,268.0761482859492,316.85978622470276,168.8834132714651,147.62162715444273,123.2078023720445
