,Delta,Theta,Alpha,Beta,Gamma
1,4897.753943306435,2265.8558755756094,1187.0420381156514,540.046685376421,466.8221398823468
2,1282.3403826579972,1068.042925190808,561.7529648015284,384.5494465322743,358.64691180976206
3,826.636400223263,928.6404239591869,461.093422465973,409.4113407006301,439.5449960224595
4,3176.899545527604,2631.537892706831,1831.812918526776,1251.5116201251747,677.1390507184467
5,9954.400783315721,2906.7052947149045,1826.0826329453782,912.3743765292722,455.2033291945138
6,21686.38139986886,12730.027107543901,4697.816521263356,2099.677099885114,965.829929152021
7,22732.69182813139,10373.212817992779,4361.599797105699,2194.5905588505857,1157.5025217042753
8,4596.952698817389,2585.237261155482,954.4435649771458,697.552289741316,409.1507760374944
9,9256.54341113811,7487.860237017492,5207.357191954345,2493.2750735366535,1216.827548464823
10,23912.47987658427,12283.38982196244,6330.57763431466,2348.0466460634048,1062.5396431636364
11,21838.350699438888,12824.940280437244,4380.265398989582,2893.0802824895054,1436.4505114839521
12,3637.258495056513,1862.9470508313066,769.9045818177794,517.2683759045,395.17726518011125
13,8405.816283866492,6512.306027325058,4939.121999153798,3278.366459978799,1054.286739616601
14,5404.868923607779,2255.1945867899894,1512.4918532136248,650.0395921128089,430.9527683345326
15,4980.275193249898,1306.938705825937,956.5634651239101,665.7960508646945,360.3520961065234
16,2836.0862714877035,1495.7021704580386,740.973538442325,525.1064138099184,319.18990092673056
17,10336.85819205146,9041.867099136503,5244.927315537399,1565.1432359463647,405.9921436146452
18,1699.4378024481473,826.9548959163482,674.6153225269223,421.3791667679356,357.39508018746284
19,1320.2680813454417,715.0014546671853,518.8272677258988,400.1541581010694,278.6399386406664
20,2461.818206260988,1638.9164650219413,782.9384719433567,495.79930414210185,304.7236999211692
21,1471.0031650750539,1883.6584107531176,961.75540723376,500.816009544972,297.06504028391663
22,1039.6371997192762,489.65099080170086,557.6396833170959,504.7025282723655,312.9486469300146
23,2682.930750485487,1627.1322910679078,733.0083859862649,421.16108244688905,313.7626825916916
24,1644.7711296073117,1410.4567719049014,438.70080258031277,429.8272748577027,337.40980203240207
25,1559.3150611222075,876.063769129348,538.5172871383093,392.6232023972714,293.4518856666791
26,930.674249519714,567.3225525702185,284.7103900718745,443.4175099371834,257.867096292675
27,1105.362329604361,817.4937680983,526.9537269569721,412.01268985819,327.30075472761933
28,1739.2115900268532,1699.3543127155874,497.33192406033015,419.98399697547876,376.23747212622766
29,4369.928813041201,2166.0647419652714,1187.6513716229178,530.1066857315367,333.2674530376188
30,689.1614296924749,471.3474393596622,334.67990722490947,372.5440956364857,349.82834028179883
31,2296.177157659829,1268.5406753152115,959.1597807381225,398.2680264185349,255.1260988700187
32,1129.52823865876,865.6469798415953,575.1449763717507,416.3473164731061,300.2415309141009
33,13363.832298395031,5674.636448127942,2835.0528255255035,1101.1507785592576,518.2487173161369
34,6679.701778252675,4291.297629200065,2476.6774186279517,854.8307709142388,413.66685338402556
35,29091.178002631226,7241.847272071328,4299.458624308554,1405.615623874385,481.7346937592396
36,10700.926070138594,5566.01827458263,3054.5873044152186,1786.703708700045,742.9496992517333
37,2053.1951434588013,586.2265287119492,681.8370366711865,440.53629035356494,405.1440249486435
38,4283.8155080245115,875.2738045854192,562.971745813043,357.3843546276893,429.0323456235922
39,934.0245198013945,556.0499707279439,395.85237215393323,454.851990575039,319.40955464163756
40,2027.9078218359155,1082.4975608939517,458.59570653997423,416.51730186642095,391.3236618097521
41,766.1973706993688,503.0976592994933,597.7271199052611,415.4234300758392,354.4681442369841
42,711.2963133766938,644.8742547028344,396.6183115086509,433.77354884538966,339.9140704479663
43,1953.3919611533495,1057.781729532784,562.3298140333549,490.5361987620335,378.4312328388479
44,1600.8226811904888,876.5372853581991,294.50702885272193,532.4567183328718,332.3754022444128
47,1239.4318441027342,612.4748213012783,569.0222326825149,428.1763974358535,267.26362525354375
48,1489.8991999447633,878.0536900375819,372.6023593615146,329.3418183008677,309.4861418781457
49,1479.0615562827827,747.9406413647581,296.1828099441823,332.2414033247889,303.1211717652924
50,1075.5782018123023,607.300088523915,277.8884694725633,372.8462322892948,276.20278581431734
51,1917.2647826924056,1276.7513686235443,464.5885478088923,411.9279784069269,348.69326160517846
52,981.2228529855674,462.40388934986913,383.33787009571444,313.32773919211655,256.2388104262858
53,2253.0065877102593,1667.8142716709822,558.2218254551029,400.89371569812164,335.5494453037824
54,2602.17113088511,1387.5385717140323,632.1768377462131,389.29969298699416,279.1376937389776
55,695.8798455127602,308.6956515922036,305.71085795970566,374.88624621036826,289.2107969902193
56,606.3473821434062,509.15645921685444,239.73258248844144,328.2119001525314,312.4292228316336
57,2371.721449206234,911.4143315267262,555.4126490921819,391.545993708851,303.749003665504
58,379.39227694771995,539.7656959104011,284.3324016788844,273.8389731763918,257.52518985621214
59,655.6207969849161,390.65339340195425,431.30666151988225,384.9983474488284,298.61089298638086
60,3074.3661118066207,2313.012411488191,532.0114366341346,396.112064842437,318.25441463167556
61,671.355716126686,403.01802688905633,464.6936221099866,361.2921947490937,345.80710641388913
62,2073.88850857643,1208.1481702037631,379.8515443853738,332.9083741366189,269.2191500770363
63,5252.376789968125,2031.0236133296798,697.1034576233669,548.4765217924593,311.1921920820182
64,5811.724703866812,3177.474504549865,2027.0507532714132,777.7805025117948,473.86199122998516
65,6462.2109087476665,2339.637379195652,1176.8650556453645,681.3407488541601,367.4765629984567
66,9902.501888048446,2232.596587395045,1736.0220232527251,586.0761754909731,423.18260785843165
67,7832.986818436539,6119.530915171841,3248.06207597797,1030.394190573789,651.84616517532
