,Delta,Theta,Alpha,Beta,Gamma
1,942.4312535550177,742.3525788464937,367.56676658754895,207.92712258371822,122.57260317113162
2,1312.6524134686858,839.7109186716549,595.2254772765048,259.68294245824444,127.28721253396381
3,880.2257769739103,430.3559922564456,395.5470498283871,210.9199915843137,139.5660452075985
4,1229.7565173698952,454.2522590542768,348.04555027486623,206.31298294730317,135.63130483166265
5,1371.9413704099675,450.2676970495759,323.42226369544505,200.733634847826,120.4345843190212
6,1146.174696608305,829.5083138294209,507.67065677730824,273.7488482320499,118.43934238675186
7,3252.6831760157243,828.4965517229793,567.9827243469163,246.07951366549977,133.3571983124285
8,1616.2832446157986,1305.118578540821,623.8664869572187,233.09507898174328,104.41243828400783
9,863.7484507106777,511.4686373892815,362.72474986751365,188.7263178837603,93.73664234079149
10,1764.7932910306376,592.1628472601898,454.6189427740255,199.7775338512702,154.76169678767843
12,28108.12804656141,3362.6912176992105,1643.137938743265,824.7719109031154,411.01191302797565
13,4518.778695504641,1836.8161672814003,1107.7401523243425,386.13329419846895,251.15735472522175
14,1181.628075250917,403.1096327484264,249.43488688944575,261.8300152188879,142.66673035395021
15,1322.1216661711976,705.1690601124112,307.66378407631436,298.98003322241624,210.43424462265517
16,22741.820125320617,8846.457565210589,1796.9277798122653,752.0403452769948,287.56444854167563
17,4411.212618479822,1732.423960142308,1341.705588270359,662.399437714812,283.8674885422805
18,9569.79231896116,5274.497890216622,1318.1565809600986,629.9326616890676,184.64003024049066
19,1631.444005011949,1237.7218303854338,676.0661825298779,343.7276187288819,152.97006418910206
20,5169.098999300051,2224.313607125417,1220.58710562136,407.66100173421546,219.31821438423052
21,3246.9662733644773,2777.6291708057224,1730.6381523240057,614.4795835075518,196.5421671054249
22,3520.817248062146,1632.7628579258712,1120.492320055669,375.5590723848686,191.90330740581732
23,2841.4405754592844,2442.6529918801725,1088.8768266069064,536.0646621749212,238.08277216722425
24,1487.1523187992982,1127.0722300128898,781.4863517269698,289.4835630661511,153.44258574256008
25,2011.8006698819909,518.2992682170132,531.120019459415,143.91362541547159,139.61026869333026
26,526.6503872587775,577.501743391841,250.84592117474318,169.3815769405911,107.79416853997932
27,794.9941674105287,558.6649149311689,196.64635323026476,188.44425429958926,106.58119042890007
28,871.9752355924352,422.8607142744675,328.75772803823213,168.3446622034091,124.94422936857232
29,1277.623480751482,465.0265965079301,402.85539916097423,174.89933401481673,100.83060598861839
30,1071.0991114554897,508.4652105205032,471.64535831147697,168.2433059168025,111.95594169412112
31,574.0611190864256,614.4965990454489,303.9191950418987,200.30525296684277,114.23394110832365
32,1035.9649823098723,537.3513310809366,446.2162198988602,178.07017395350505,111.73408624084368
33,1031.2588332991038,468.50776352914374,295.3146238884202,194.39224203104132,97.90412636229307
34,836.4681782331752,320.9193654602065,224.903362182832,207.39013898069857,105.1001038887697
35,1167.9330321108255,399.2530458307032,342.68974514154223,207.56743879795312,96.13998570891944
36,653.2883340963024,428.7692227688957,292.6663514332471,188.64049705220432,99.5705269883058
37,1255.9314722049473,581.4469854711584,359.6296069902467,161.2824912563199,119.6752876169529
38,295.98296496547965,374.9048049319196,259.5681651292456,161.54846554529098,91.628850573085
39,512.7517117878208,489.2173045576803,444.3676573244338,161.003493126089,108.05936681965693
40,694.438905555812,279.9598307983454,227.92582463413964,137.34236067305596,88.20708134004353
41,564.6483005402721,306.16952000840706,184.0988607864351,180.63252907717063,97.51434736106093
42,622.3339258468809,640.2543413955714,273.71291274189485,165.43369507538168,95.21734209859642
43,668.1565714509227,360.3036510322257,343.23843067181735,171.9104943422106,104.24283153581328
44,764.9146869998092,610.0913583277003,272.7050860996648,162.83150762155347,88.10157450907295
45,763.3059484941167,480.1778477048457,258.86879060915254,165.12954317144846,97.28158032927976
46,525.8725759955062,292.1941144155081,201.81217206592368,173.74810857349894,103.40860428326262
47,657.6237273863741,531.2512746679176,281.61828953771953,130.7357196253727,70.9527024150585
48,635.8577511982271,516.1612611563062,158.03216562541388,160.55319834483558,116.4156848994899
52,554.4874731309824,273.84756320560257,337.83515324145526,167.49224762878276,107.27767627500003
54,561.6810265762247,515.9795724581884,209.51612982236344,139.53865954353196,88.09684567191144
55,484.55879014008946,345.5958608367405,332.70933822684964,131.4249484876042,100.20050635734871
57,290.31088297460724,307.9515781999558,140.29898771189104,127.60151538131664,83.40399438890077
58,387.3418314385863,249.27827034917513,186.57118463720818,143.4008650820491,75.24718020221295
60,520.7791078234745,300.97819950871605,228.06736548350204,136.47445522928504,87.31086794427267
61,881.1468635805559,462.64840012070164,190.67696832484327,121.82890001038703,93.5706645759835
64,523.6164781126248,338.17076143409867,259.9547056857167,134.52571532181054,87.4332575571309
65,443.1089148440084,345.85340650685475,152.15592481330674,129.8049404850175,95.44829752251233
66,358.27060900229117,279.59800158456966,218.24914867695398,113.68594901605047,85.37647936911031
67,449.02551920343404,261.7215031821922,163.13324488074804,117.3213154788279,69.61791010770236
68,339.5349115778946,265.2522801078859,187.07125522448794,121.80781286519378,85.56606174710262
69,390.50729585907004,269.0673616586372,157.43164879404267,119.05865502060648,89.39845092053571
70,343.3134004259167,215.77652896473325,153.8088548334058,123.29026860175519,87.95064232109239
71,619.8635256573855,280.210727712457,206.7728477730378,127.82576560557338,76.66473415833579
72,404.7650126217644,367.69207735640015,335.9657088850578,128.47497028485304,86.76325910008802
73,605.0968535993237,152.63243909313604,176.67563769394368,124.8531617356946,112.22334744552137
74,771.0031331423068,242.56469128453728,243.7107654635105,126.15491679187589,109.42321663671487
75,669.2403622057185,422.9607525342593,200.8005795671896,157.5614830180215,90.8112512017879
76,165.38240496057665,272.8006372617833,208.49670471508688,127.26899094287218,92.16689986308293
77,578.4339831821059,238.41955023548448,183.9862159741793,110.9350639504463,84.19931858253656
78,425.9626272364993,249.2888087592402,177.9475160054879,132.64300503737948,85.66653896350564
79,303.5791584713096,348.6527402575035,165.67865099778848,140.55200903313133,93.71440910393191
80,679.6744314172278,395.33690474016544,245.348284977905,124.79218144586048,86.47551632970624
81,801.9950966759573,347.35697888043876,176.73595352845163,153.8562499705861,84.84984603432613
82,759.0811585073119,346.29096862571356,160.87374283688058,169.47622252372855,103.4564751008597
83,631.4244581848926,452.4020651304469,195.83355323062048,130.13413909311376,89.96532605207345
84,491.5801493358165,303.9731798223549,218.57837936421578,113.61224702149454,90.4484840524371
85,493.525909421105,339.50797503356006,215.11330838794828,141.04751606763276,102.41352455935052
86,638.3193208451098,327.4642175742547,242.92640980108393,131.24107068210384,102.22659736253206
88,493.59641970399116,309.8687082324757,237.16157614310674,158.965925505585,96.03864988668786
89,435.63628347627326,329.34943554154046,189.64903000150215,144.63940595178815,80.78181774488388
90,512.1953145936452,301.81409164938884,203.25474527174785,148.72068044360495,103.55464870791627
91,438.51089990918143,305.47205997261426,255.7019000671192,133.92448901408844,102.62153875314651
92,469.0914927565442,372.7932409116414,180.62068716893856,155.790934998699,91.51203585057648
94,438.53172858175685,203.86906030246212,176.36411199525168,117.80133269091147,94.2263614447956
95,418.3899571668653,305.30853167558837,212.51488198217695,93.67033303090938,83.89334020125585
96,432.9874587831594,215.82901717329187,179.18613225086196,116.58076422057107,70.30812384805586
97,484.48413346799856,266.0498530078866,186.65644859243508,151.32319184546446,66.64358439532813
99,540.9215784559949,411.03821004787517,201.77880942808542,163.63798169927745,90.8113584041637
100,393.9592587377267,153.36134845470409,249.13392568010332,93.69311395417265,76.73705873935295
103,339.8310583881136,241.69589449060396,119.17819521800743,118.34265230964401,88.48389662253645
106,350.96265088572795,230.6579703845332,157.199195731256,114.28393096542584,84.10869223898575
107,238.94679230373606,308.12243883689666,193.4761194666953,115.22846319610558,83.61502807868754
108,193.2598389514665,223.3798292337671,214.28599378402947,116.60302909025575,84.23868344625036
109,298.8419411811888,204.5341962081115,105.38278946977482,136.48377863908357,132.656512987658
110,401.6393250861313,193.66524197339226,270.9054980050147,140.6956414539238,146.15414749429266
111,441.5645486381437,257.8537796310437,222.36230648649962,134.36582435128054,113.49269661651853
112,419.8237686155379,204.85597405367736,117.96818933500467,100.71306722925405,77.14151116439234
113,561.0029214319723,245.55520199399544,159.97463347020417,148.8968349603049,101.83323690104349
114,361.22731100359783,248.726961196917,184.45003257336157,127.82106566686532,100.17144897183277
115,638.1418421899,231.81803796450032,213.08417064900095,104.90620083984739,88.25103886162765
116,446.1806103729301,215.81083153494865,254.90064036850268,151.29849634432873,112.71049864914927
117,375.70969480066003,314.32130344413724,203.91354933921676,120.07027234469832,120.24417161753652
118,307.2737726759107,227.73322906012854,124.84356704495667,166.5839458204344,108.66263054100254
119,258.7551571536443,258.96983239376505,207.46131357863237,146.2917136058108,131.27783766429155
120,396.9751657646116,256.68853992061736,247.4958950309313,121.7843315757358,83.21102339070457
121,218.95256801383795,210.9624587503432,223.9054745262968,160.81117675477734,111.47739606543631
122,299.12222748121343,334.01456622669264,221.7741514432909,120.92874535026738,93.02328801549291
123,283.7711925717691,355.21429592264485,168.88811006426135,156.57333759298066,77.3209819093232
124,276.58199894806177,296.8624135559776,230.58633690894766,127.71129396417015,66.87186019711102
125,339.9975898729198,173.82615075724067,149.34015695564955,109.42457886794867,97.34832450465947
