,Delta,Theta,Alpha,Beta,Gamma
1,804.5161572873002,641.1883944389276,263.09396092795896,217.89500538358962,131.2743743101738
2,1131.9862876555235,787.819652453279,329.9647128463213,188.14363891034898,105.45260694633814
3,623.2498946654702,331.0469575752874,194.4553825206352,160.25125989404043,106.3114814434002
4,682.8604927263772,361.0982479632936,277.48232670676566,136.83544805402886,108.84775021378769
6,712.0843510116687,351.9167334291701,213.829452842982,175.36281302178242,113.9430711286689
9,1190.959828466049,558.916557692042,328.63745536369436,211.46085332749098,103.77547932294706
10,835.2501205146058,409.6662705407425,297.4851736705762,162.21354392262484,71.24266869413006
11,982.3753192669908,499.28473462993713,325.36971914477897,146.97906120897346,107.11825497481426
12,738.7327486509859,473.78963950837186,277.34721111865525,163.15515122777305,75.57930048427895
13,513.6234270841933,345.30158111565567,241.7371505271405,139.02050383916472,99.15978194552301
14,2441.76251225928,1358.473720080679,460.63330700375883,170.06870260687822,106.02375903324754
17,960.5691133090982,636.1239741906128,456.861376614948,197.65547984025577,154.70135139784566
18,959.2174597811866,512.2365654373506,464.2433440775752,197.13134820277378,113.09971217247771
19,1314.1660630688727,1157.3561089615016,663.9767533573256,209.33519199662885,110.94409324144829
20,2383.4028838575127,2076.255428474128,752.6382027022785,312.7719885661698,129.65791668471482
21,920.8925989785157,615.0838457438888,410.3923749740185,160.95081001262054,90.54095095359256
22,3078.9654289277587,1931.951810002181,914.8422424634593,222.39990407186087,121.49826242530607
24,2067.183648602094,724.8614300959205,585.8358188882535,364.2006744417287,225.73458871630686
25,28555.98018378737,9459.294606517002,6045.114707880163,2653.1352918551893,1272.2305410931758
27,1388.987703451165,779.1240650567618,363.86905496815007,223.95567755056052,160.15272936429184
28,1876.474563261091,1407.9598693022745,1476.6691414355646,612.7635450582133,132.5071786524075
29,5035.16718035222,1743.9167212908092,921.4819675182614,470.81350902787466,168.19256588908985
30,3819.7719467003544,2293.732531360035,1124.025667051204,400.3857413120487,192.3696062126171
31,23981.245166669203,11410.46686744514,2910.848167660755,1223.8071832654762,340.7469232086572
33,14622.412828117253,9476.975402216209,2878.2915761059635,1257.3169048476811,776.6930713174645
34,2011.349295499017,478.37861544051094,385.89945604919893,189.777480794565,126.81489373855575
35,6511.382989204241,3340.207886464302,942.5731682309017,368.9659984770483,213.1946934501496
36,15255.893820787624,6121.2696165634425,3769.725487220603,594.8396568033446,219.60050131108164
37,4667.790291075236,1861.247767479179,1440.8995800816654,706.3154000891947,463.32312467525287
38,5547.30712571444,3552.415270077331,2002.7796679222724,719.8238915441552,353.72566241673405
39,5133.978105652378,2479.7167886540747,921.6665082292004,362.5230239289438,216.46669253854077
40,7661.522027633039,4723.8455019973035,2224.1951238322613,692.9024661077625,338.60656356344424
41,15267.952592983927,7411.350830154413,2606.202658745437,1190.7678858485256,655.3268671215794
42,43166.23252647595,8838.341805265381,5296.039982654275,1771.7851714337696,631.9846623832316
43,4373.011883664969,3961.307096579946,1953.5752726089584,798.8133218252191,264.8331322740417
44,1182.315129745834,628.275170481272,320.52138679763823,206.41974765467128,147.47346909283618
45,1165.9658864084274,410.6169768576377,396.1280325287267,227.8162654708078,140.43753099499438
46,727.0028596770029,276.2726445723502,150.70999034125086,126.33043172110911,124.83505410395429
47,2457.6878593474585,1349.869134937691,597.7435670801818,212.9198853966831,132.97551160969869
48,665.5773857123866,501.02575824767246,232.40726856501547,152.15685169501108,100.80045113094886
49,932.8993126773831,438.0661453503241,185.23400420279006,154.94943216797168,75.63086843947029
51,578.6351202555162,403.94197153559196,312.07336902325045,169.82367657952895,118.62244991732815
52,897.3557617990032,520.758515157256,192.67553776950234,131.71801293458344,73.06221464478644
53,1202.63651384938,510.3469633740856,342.0950390307749,181.21280820079852,118.8321501888728
54,560.2641713369643,886.6525709505979,562.7398935242165,218.25012553407268,170.0538638287785
55,964.9184857721149,369.4155022870585,275.80948166153314,165.557728469301,110.13392136050587
56,441.64280602030436,247.57103144364746,285.6394697314848,158.52622030722878,130.10506578564355
57,454.7866126082561,189.3606518195032,238.61280280747405,133.4929796376934,84.61673814915235
59,601.5817013938066,422.56365610513706,313.338659230987,175.3612150483649,128.2849511222763
60,6199.863727406629,1004.6278019657678,779.4026278047261,387.1987535058829,182.34482777710465
61,576.017150977171,293.41448307709817,284.961500680019,171.03645114299803,138.46844522819953
62,727.5160396794029,599.0718735115963,296.6095492815742,187.5143722733063,113.5543568114815
63,543.6742003560003,283.90110971987934,271.4890243758885,168.78878620628666,118.47863510747358
64,654.7312726682516,508.81887228047407,334.9897044254081,165.88469972741686,121.00533563943434
65,992.0672616694504,408.44611146188504,323.2406581684684,176.547994581732,126.8103072237601
66,627.4917690320126,328.0961506354843,307.8819478496844,203.78498645234532,127.44343342998675
67,509.0660383362911,352.8168590645003,240.92490367794903,154.3071679027472,102.17129466689096
69,622.87302974048,412.30321304616064,331.4626964627973,195.62571795188032,119.57273384644142
71,656.307633198616,397.34972213124456,296.4650699289103,191.89030557177307,141.228591987274
72,586.0841492254411,268.15777597514017,330.1718643325497,154.45274433875917,104.37093414010687
73,1524.8036466110825,748.5561342759431,367.82001259362767,187.18280864602593,131.5676597692002
74,310.79962720570416,276.93726047986854,191.39776572229985,162.84655140956127,134.71374764586315
75,255.15735724973814,353.3391616435227,192.42717025432114,177.52691626666024,119.47692882271627
76,429.7700840320844,405.06200627097013,349.6481584309261,143.1762869204598,95.69152809853753
77,438.4773330585414,298.41718689083183,201.2164741879558,159.09292637272313,124.27231251668508
78,921.2276330596495,510.4858676380333,367.8703761529594,234.5191244260249,140.24551634831602
79,2900.507086890934,736.203924830971,809.6479367694104,407.1088498842177,190.19994314064684
81,1265.2833318526646,467.55086044744183,291.15517046694526,198.95478146328625,110.73285110729128
82,470.5152251103181,287.1608368347328,171.56631748826354,148.51945603624034,130.30146535900045
83,1792.2092676399182,963.3653746300799,446.4653743181654,197.78653161372964,75.0778445171031
84,475.14140917561656,204.6202318696077,325.7711706197914,196.38629709622245,120.6021480989617
85,571.0902058961603,324.1463505281211,238.2474520407929,172.13109966999392,124.55770830399389
86,475.8232318857072,351.82551554292314,235.39122270991098,145.39354600092454,103.27213587112435
87,491.01713083019933,276.92125235235517,147.68986638675278,163.424330850784,115.41364285917183
88,1444.4163100278602,823.7732597801794,343.57725442535593,173.80357089951127,80.99538240029483
89,367.76670718766405,366.47494303446433,175.16286346046323,151.65144018657264,112.17253493055506
92,1634.2332734945603,1082.2175027080568,428.5194459460128,154.2995311574219,112.44118981317352
93,3968.5274382823113,996.8477778965207,742.6661863755996,385.74593218272395,235.70097113319838
94,1832.732990795767,414.8976859362988,337.84878640451916,312.6669123334645,233.16194541745168
95,5916.923748806752,2076.973315466956,1221.541032767324,525.1604358345415,370.4689814896177
96,1849.256113959054,750.4763045174374,470.280719778449,211.87316396186444,159.89647603777047
97,2185.638800292242,819.310152064558,410.6076357572327,206.84435982489788,143.74081101171143
98,1642.0193500915145,1047.2875323005233,664.3681616376475,297.1012252990314,187.07417912474023
99,3270.485579297603,1476.4294829437522,960.1592942781296,677.9951623423551,256.5858877592468
100,488.7477375751232,251.44379708906672,316.12130095178884,167.31844255960107,119.34617496828626
101,1099.3998555039793,265.5911477506931,195.38552251047136,169.1898047619565,127.53668961235554
102,901.9394648234257,224.6800866871766,200.53634002558155,169.07357403645702,101.68499722886247
103,736.2499983532775,354.3650284022161,237.9394586950346,139.02520002119,111.91767995991874
104,1037.1475211560403,439.3225612352675,266.1497519300432,182.4262263310199,100.87944226658877
105,863.4265774691154,359.1895280477329,292.15706850533826,198.12256983400022,118.58349186829668
106,260.8007324424093,291.93492575787843,179.03317228633017,204.206765032398,105.3299781304501
107,1292.4503331308206,1005.8892698927332,218.8993318797584,157.34217767074634,124.67553104989113
108,1182.3760331575993,823.4035188104375,306.8328292430722,171.516045910962,120.79743704985523
109,1453.8992457771508,766.1507841398927,480.59163898034967,221.9519215902151,200.98842431148665
110,2379.1973040977887,1704.2759764347945,644.5591756850099,214.29967248579388,122.35220584076912
112,3289.7691801288743,2216.7989611948315,715.0684876958478,410.62996028243,224.2279981900346
113,479.4990227845225,419.3121045430441,217.5520560267476,142.21079661390672,99.65356610584105
