,Delta,Theta,Alpha,Beta,Gamma
1,793.0962815732395,287.1451599330241,267.5714995831558,130.80306128178734,118.66956349704898
2,271.0742665643899,349.2863472073268,153.62563155666118,131.5601409320254,85.050330995494
3,343.4070052153142,272.2121928722348,279.19502817763424,117.81475255512728,122.40336013235101
4,345.65188469062815,325.89474842721893,160.875941990226,148.2561603971897,114.50872443190283
5,879.086914721431,499.6706469402516,292.95653772014776,129.74908444742923,96.27101633029821
6,217.10495532431025,187.76629673260192,234.5095357036912,149.6228843585399,94.6441870245637
7,1515.2610302760577,972.7480951158102,460.44747725517857,145.02195994548313,112.61278460259028
8,429.8660186877058,318.9962440558269,262.2114433295686,146.63241200634195,110.69714176090278
9,531.7006752244964,281.2037184250907,217.95593706475938,141.9603075452926,108.78790793648474
10,484.27724019932225,247.63451771768,83.61218878927598,134.8572919625994,103.42797896858542
11,394.0795118506294,424.3463292044442,279.46062198311614,179.88144496976628,91.97648313409724
12,423.46213482264204,273.7170692826165,220.36732854846974,139.0633047691898,114.1291562132495
13,268.1961436823397,183.74306194245906,159.48352505612453,141.62018359995017,115.42404324528034
14,218.40380772167038,163.50647808291916,178.33417645264544,136.79566510909842,105.60602431134036
15,1122.9103330031314,445.02567286979155,348.6507157246957,201.44273052049516,120.73157578822234
16,957.9466848404064,777.9091683143598,367.21717657291674,143.69292830414716,77.9697423641659
17,328.3467458111552,373.289222357254,143.15529494832919,115.08840079078135,123.10455244061643
18,684.3417103527987,444.42336062892343,283.9667688382803,149.26916157988458,130.54875133940487
19,767.098219477445,505.83869187590096,198.8844311248692,150.35240002017918,153.6756209977473
20,979.0591233827092,661.9074220791965,245.55301505908946,154.54165368455753,116.65680603296079
21,398.51822628770253,219.4756142537235,182.59180690154295,145.37752559527303,110.30132921070913
22,1064.1731390184673,844.2111770017142,336.08320776329447,146.98070984100846,113.61920303555094
23,492.146354930434,554.047463164505,332.76288788116483,122.80078434394572,140.0553391223233
24,309.9248808406894,249.9275837312842,176.20548467847257,136.56747863457397,121.58614557499776
25,1068.8125018186947,604.935632913524,161.16225543099998,168.75387901448656,136.7463341806179
26,275.52093126284103,224.91205068824974,219.7929494224573,113.76809961906841,106.74663184405476
27,669.3762038734244,587.6781922348111,419.3628568867056,157.14106587710106,133.9603918041219
28,463.8052509002305,257.96275902277216,146.4216574784768,131.66536525414242,126.98480661551932
29,173.13206409024127,138.32263147515022,104.31322281946356,98.13951819636479,114.51345101428086
30,705.2580936256244,413.02090717847693,266.3512227839134,122.96727461333316,139.71477205036877
31,797.9825571529905,636.4621400213648,303.7504621783661,132.41787571216955,107.58608159523362
32,902.711057286687,591.3463606274802,282.3774185906038,148.5996876556444,125.42207509044867
33,1222.8035331034707,785.1955958676376,248.04084473905823,134.2273892997318,115.33452485431633
34,331.88547070959766,270.11700456783456,212.0634934807665,102.08581687548677,95.53669211517841
35,303.5770315689895,246.02801349980095,136.0648220723351,109.51940273860271,112.63216062122302
36,1281.0674309961062,718.7466666961193,206.6919862563338,123.22920947805103,123.05987205445035
37,472.1481100504724,294.8514193049783,172.21152739045039,147.62832650835958,116.84405862849135
38,1312.5663765164427,818.3800953203482,297.90534468368224,133.86405742488645,108.55313746780622
39,100.78622126971914,137.8045250335107,136.54083396015395,120.9418723710714,107.37869650345746
40,308.4517422982081,231.05607986235356,187.64851847839014,121.29563422420642,103.13076510106907
41,209.9014263608318,237.56639694270012,110.83705560817116,119.83731356481638,88.97396905204607
42,137.4438459362622,160.90443145544026,155.0430558897679,109.68599246666226,106.78316484397398
43,593.211870022931,230.6473280177087,188.7961090302375,143.38786621817906,144.87115542213851
44,2007.0934728659156,860.4784218457733,207.75482799336663,122.61051865375411,105.5633199797924
45,731.4038240002168,442.2641874374406,293.96573539580777,154.30754048438885,116.31592081889217
46,206.10785984202852,131.2428519068773,137.81837794260156,111.89553560032195,111.31875360073765
47,1143.7916700442624,350.5802031367277,355.95245165026154,171.02695904526192,120.54232965928664
48,850.2434063154047,485.65105698206014,111.47593239227997,125.05475212889475,79.44853894568854
49,264.489333105563,241.15807186059232,157.6080537827233,144.95392363736582,131.69739636411006
50,415.40802220480174,226.12400883168343,185.24286562413138,115.54540740112392,88.40054672986318
51,966.4407972103072,489.81625371258235,309.04489504178724,162.7763011245901,117.929352733917
52,613.29823138999,440.4890981808776,125.42129781561744,142.59893033035019,122.48661054905253
53,254.63116360366573,170.42899463525342,139.18945811413508,151.7370195700956,157.2041441875258
54,1169.129333928322,927.4741103754001,532.0844600268193,192.84360884759022,129.32419597669633
55,361.25080675790855,243.59299769326262,134.01835997475123,143.18448494376844,131.92035994111285
56,449.81110136189005,255.6239794983262,255.28798443915048,141.1065138918536,116.87448489007272
57,711.8010409105505,607.5389650156136,263.8916213307739,149.5471337375589,138.8367060460563
58,728.810026946938,496.7906077592626,192.37734125284527,133.8078714910564,129.09790269004986
59,293.5791706137732,194.83506624358841,246.83565852085866,143.58759325722514,100.50520385289005
60,856.6389517660921,513.9490191098225,148.09649393171105,133.12416813099878,96.5214589226139
61,177.1650301448479,242.3390636950051,169.37970072253592,145.3894160999054,99.5333455895784
62,811.5916373849329,444.2655678782254,297.69752192208614,129.00089273081736,119.42725510883513
63,415.59389376620965,224.0189725886271,143.82621286157138,126.5949567256899,125.14100922467254
64,1580.1136892794234,751.1804307154314,398.3372706327235,234.25470007336912,123.94409566008856
65,785.6715819452952,642.5855218339184,247.20801960970408,158.7156986571802,129.86919179051665
66,797.6272040954752,476.6253762970837,288.20490531614263,122.53944376319816,158.77728418332362
67,795.016399681052,517.8669238390717,149.7652360768289,151.03151788567533,154.37380010151685
68,455.3706806850109,296.4353059955132,214.8629567623596,170.03247128442666,169.8150331319677
69,595.6035211306489,399.6950626010096,317.1236242932154,137.3299985172813,147.72780156647423
70,1101.0760882142513,515.963312629827,168.89889494909022,127.45902274923135,157.47382201166346
71,485.96378430542313,300.33168450766834,185.63902384615176,143.5587882918237,144.61294594195164
72,668.4069579331635,454.13009196650535,240.41126519601266,173.99266786187087,154.20369912531288
73,837.8323943886387,514.4422124432256,373.7387577816295,179.84691134105174,145.13176509832385
74,673.1904506929185,456.0849598034054,278.3019869695333,142.43219055926474,126.5362129598323
75,670.3858060680155,384.086367953077,287.9287805174564,147.90495408175346,141.40005229952595
76,238.96028162704857,264.25222531815945,280.8453925201779,141.9219620857019,142.91794686512898
77,177.94757941585766,191.38748663579798,117.03415411828936,119.09263364836114,112.48013974742622
78,731.991586095651,511.6954858130014,220.5533424229255,163.10886896863798,137.17672276519355
79,758.1525208665931,414.6106482651783,131.0514493935257,137.82871918509235,147.26868287997797
80,190.99820996578848,164.56164336444562,161.07164338043557,114.25592095285593,98.03374769450538
81,185.42092120531754,210.91080675042372,150.15641184077816,138.20396237978414,117.42200523216857
82,337.97290904380793,217.9541351522189,283.80636973782,90.8887335248689,137.98243870913328
83,255.25958009468195,167.96139878265552,123.36250752178992,108.88829028190696,156.9578669821856
84,974.7073771126866,782.1054900872562,243.88911925640986,225.24184483798302,149.35467830073236
85,723.1173669485089,416.2101409474355,140.379481982554,180.8866921229917,92.39487819512857
86,288.67620232691536,223.80586218061777,171.83383679155915,147.00596140393768,140.43008555736537
87,205.8315773508896,155.53485052643506,138.7331162583252,120.3722002659236,158.67085256599242
88,833.5847861575247,422.94781894759825,252.02722528270837,144.17653891369648,172.15254581102477
89,999.503800996699,684.1793925978191,236.24957985319656,152.16929180613906,124.85274159583747
90,779.8914639879185,325.4122268357024,226.26913196672095,157.89018369180633,180.6443023894465
91,502.0128180252981,187.68653737874303,132.97882772059236,162.83028332836537,148.09763204031788
92,460.3956164436387,349.3120396033059,224.2269356315479,147.30029821290987,153.83098657883664
93,679.9852356263342,517.1613458888382,243.00591126113378,185.78691829731977,172.42371001852422
94,722.4030896203418,389.1757936623083,217.05122123354067,111.72550956887324,143.40875347075269
95,459.8344298009933,318.1369887197925,255.6488587571361,180.4167055558846,147.56230027628126
96,518.2803130726172,429.96391021818346,388.376565382147,207.14381284845146,136.02110579797156
97,776.1811111847951,449.6611628455783,298.69852281793493,197.559066335623,145.40012307297354
98,429.1143787229608,231.89347873964863,183.58875297674467,153.6442190575746,82.75317960107817
99,227.54175492226238,204.6571023107147,131.29813266238915,124.71232964216108,135.72353106137973
100,986.0062869715927,531.9231844755814,310.36773752130466,118.1862815581308,128.08859476405635
101,401.7543815683478,389.2614908590088,185.97190402399133,158.02505261613706,174.5877025594146
102,1344.486251704579,672.7862459353609,316.32278899882607,133.48025618809731,121.8297599941561
103,369.93062018254204,326.33065531842,136.9665003353604,137.62774706502,146.10900367446078
104,1095.7729896628296,827.9428935629151,380.58112268105685,203.16841813590747,114.09823143582665
105,792.4680785305793,371.41597337025706,203.2522198782745,128.26256628052056,131.1168035907953
106,313.80970122101644,311.89985749137475,157.98527758968015,163.18117164547758,124.44482832371833
107,761.064733446217,312.29663151320676,249.23245495136047,180.3373316065503,120.51092062556012
108,895.3657529972735,542.6369397597126,159.34297590479375,144.57589221437203,107.74016954181874
109,239.39204416839908,234.18212443047832,145.7340537875429,99.50029813493256,138.76519108235146
110,297.294582747748,298.0210114693162,197.93987853006524,148.53770161776242,118.97270011538139
111,228.5916837025144,218.30702799529854,107.03421401513476,122.15107922007046,135.63114091384404
112,652.7552147689282,503.5889344661312,255.05117219328116,130.64084427510366,100.90901265044353
113,774.9870193196716,425.7400278383013,313.7779585960401,149.67714697333707,112.12272010645566
114,608.39659351104,421.5277734706242,307.39409051016264,133.55777290660725,102.32852675836608
115,338.01547043538756,259.8196637350969,166.26144958477158,167.83402287046638,134.8346166199178
116,357.1204246669072,224.52890251460423,160.72243004625903,139.33411343124413,123.51990057834392
117,336.22275267302643,157.83632009091838,100.72824289084589,145.63534614313832,113.06706094554978
118,436.94574738320483,293.64679136079076,271.1310891377658,116.75794811470783,167.23715090753245
119,918.2498549640842,449.85454808220766,112.2969564451636,135.66797597914456,125.95813899612067
120,647.5696849272367,396.9376441743386,302.4066131533818,123.48498912414306,137.50495835058214
121,334.5098041832081,188.35085468515948,104.04193012068772,110.70482336181617,149.49855061686702
122,230.0686843992975,255.15530498770062,159.04654268381927,107.37230546852462,147.2498347813504
123,635.734699995973,521.9297461272536,265.6941032250422,162.254456915962,150.20368553999154
124,302.58458670514733,191.44242804070143,148.76388934122463,141.46184325617313,171.29616975705616
125,298.835840324985,181.75104512521528,179.68951614388047,123.15516169288168,181.33352384962012
126,324.9348360078637,306.52193747510785,197.58379865249404,163.9200759229357,113.8727153366473
127,913.2196612980187,567.253731184119,247.8522536840797,188.37120890282765,133.87207622798425
128,442.20229432403676,283.8059617732048,177.69875614442466,159.3321911856397,138.39582811580186
129,212.7496956283466,300.4823092441796,247.97780932581713,156.3766036333769,125.50365052213822
130,559.7538322273854,231.86828099282155,106.15168718702719,133.85560274829564,135.10875609805993
131,654.9054187774192,286.4301740525466,165.69956292764468,150.1102878069564,138.3334195994048
132,1048.2175735334422,673.2412488607132,279.0268216794169,178.37694000930395,141.97376601623733
133,353.9110316008671,151.09145247630778,109.73530156413378,125.792385794646,148.21019975127706
134,657.3819541610121,342.94246931314314,157.19605917446373,136.26502302088815,146.2113869598399
135,393.87879401506444,304.1697752830276,131.8989026907011,147.02566112287673,103.26334785441162
136,473.19534791469806,195.22407419317398,184.19316180073838,144.32010265718105,138.12662517190762
137,845.5535194363455,773.4138060350859,317.21864465725514,184.2175754295246,143.87953030265172
138,965.077817036831,721.9989870099989,320.9481466474291,186.33569746678046,137.88298301817696
139,248.01356933960594,195.86446340860144,243.45469085362598,121.87336510489006,148.59390950856366
140,349.86855381576265,264.9012597499442,261.1904208868444,134.3214313865043,132.39748942809166
141,850.035943615223,443.97153877275343,180.83928376067016,170.94140489019838,146.1614045283264
142,305.18669308532003,235.0275828041847,236.36593635423347,118.36116820316661,119.71361867889613
143,788.1710376708268,447.4002028669139,286.9092083756369,142.908687964616,134.43223643040608
144,510.0159290460606,443.1971273749938,318.13517488375294,137.7201810591276,150.13698625986692
145,1123.3680267740485,815.9785181849006,235.13050249993913,155.5789884120049,140.7479344616722
146,373.32332909818274,313.64402393950735,167.96133065866027,155.8505923242323,155.6424769204724
147,262.16751876194036,314.2200917460411,190.43505577217883,126.40236700490956,164.95985507548517
148,967.8779712002349,614.2011414930674,391.6623607334906,191.0227063377742,180.8812451585396
149,1049.24307008936,681.8989556834649,231.48741108484055,184.15917191394635,147.7065051792394
150,282.153162214659,398.93906659416024,247.52493109963083,177.99585069132283,118.61699057760205
151,368.19673749580494,366.45801030740677,251.02376501904138,181.23433183162504,120.36668106362683
152,498.6577873997222,243.42437523685413,197.49704082182936,177.58486820760712,146.77886711071477
153,1073.0301210432062,657.5596094944814,329.08970608244726,193.42478071663263,143.89195954861964
154,176.8793562757731,270.1656941536309,176.6781851545207,161.3146147274016,149.51494290107976
155,543.6809467917666,388.82941867138277,233.19868678663337,137.42962024265725,104.18591540521865
156,236.9084972360207,255.08449050122582,249.9040392390312,151.39519518214357,147.1850336233752
157,283.1127288323662,284.7027815021702,127.69816718085198,126.9285073568637,158.94708841977737
158,417.4848296969053,269.5866568800242,208.04861246125355,139.303822811158,159.7851721391258
159,1020.7392533301997,803.174011709353,277.0798892517914,208.97281535065932,121.17190672201684
