,Delta,Theta,Alpha,Beta,Gamma
0,1441.1158545471246,1077.859308161903,414.93806877511804,144.04828591759343,77.37358224287573
1,658.9635425217301,244.69392620386458,217.76781065159406,141.3723303597833,89.1220328265357
2,743.0405881154774,437.9950792162828,236.49160300818693,99.9783750954534,85.54445993796841
3,276.24349271343715,205.142392420453,147.07942354162702,111.72434678133067,80.34764593558191
4,547.3612187547817,199.77183119282043,253.4828094725642,130.71582437100284,81.22704555578811
5,572.1694147476263,373.6222335843182,197.61263456780026,119.45752124630626,108.9585466260348
6,726.7512625218006,543.0163755453921,325.13307552911505,92.02165330846572,98.43205397952241
7,393.3781377615277,132.78968649674616,150.96297794922344,107.27956016091653,80.62804114476664
8,224.62460922354074,197.40085133459849,130.0668487528322,120.09669509854984,91.26293915155878
9,236.5238321575817,209.5580819388655,183.1825711244449,91.70528921709166,93.93920016524379
10,553.2778084873937,320.09437760596666,251.95343545631286,135.99448967775723,93.05536998486389
11,491.23717417787725,189.24341540472548,125.35386785875998,134.14614894340326,89.68586531282187
12,2033.2801266196793,579.4205660115892,309.46710372705587,215.04460490519062,107.98948830228278
13,630.7162080750433,193.7515907851035,168.2065537362264,134.1880779602279,91.90940710489218
14,424.9645446551457,325.8168367845411,241.6332533959315,120.77865794267808,100.45431870164995
15,172.55773502077486,232.1931603611719,172.7310376648317,126.42799173869568,97.3587600919162
16,356.235348939651,168.8171586643958,157.7790637909564,141.18864180099882,86.46136922051508
17,171.29904978098713,147.77662029299032,76.05115030747518,116.72899607596422,72.78948936064714
18,212.51252771574212,173.44364356061556,128.98054615070023,70.96015853179912,106.69231058163963
19,962.9968485856903,650.73393909437,300.3892919171459,153.13673918025464,105.49407337298568
20,1065.855324066179,772.3750210652448,336.40396623914825,135.59849410641962,86.93623445593605
21,359.63544774797805,224.91438371219198,115.55128662408308,134.83782017749354,80.72477338013712
22,414.99446032907235,252.48003538639995,183.89848221999287,130.0099954200918,82.63741813374844
23,356.2570604357273,304.836561323347,157.66745271947414,126.65379773191486,76.06346774152144
24,766.3710736554056,455.1244606309534,381.44990457087493,137.56547170749607,109.87429712214288
25,829.9794221597317,708.4349292570303,309.270055097316,145.0410152053818,103.75590721605295
26,1266.461755656759,843.0604778258287,443.83559762696905,210.04710269471968,124.26759787578894
27,283.9585520398769,232.01127288299685,151.67972359763257,90.21744163342501,116.49667352305809
28,366.31676462954886,181.6900013974843,230.4473234984734,112.73720840462755,92.28157305141885
29,274.3410669822325,235.78199500676251,146.7556366598829,110.67400326412861,92.63463397218334
30,976.7123997211793,631.3389739394563,310.32857501378066,133.22274829452007,101.55635300982408
31,1038.4170455453677,887.7233896618169,422.5492846839843,162.37959950002914,116.09595762006794
32,198.5904509301467,104.57867697349293,151.91445198625752,103.20990561345498,66.63419409184311
33,854.6636481939844,571.9329500456976,292.9207686022927,136.39713454932863,95.28070328379522
34,186.05378680888634,145.38809813178477,108.12511183884563,108.76133486799682,93.00639121123723
35,995.0023083210563,637.1502302418982,204.27426813847723,117.02728511829716,88.92056223796254
36,1534.327545270962,1218.5428583507824,466.7814843416645,141.2347594616757,95.68416484179025
37,262.05699637873965,163.9097368579238,196.02919670128975,103.80004504226856,99.73187394100376
38,677.2289222599215,634.4339838132955,302.81959514753186,134.71774595814904,94.50112863086743
39,297.9179850699175,240.39943753894568,134.45122254401488,118.56331427014909,85.07938563420451
40,305.5271848275566,205.9462074947769,207.27151959765825,127.3395557263072,77.2226442634165
41,172.3452343126717,145.12106092934894,111.63858285828958,133.13830032351157,83.57128299220417
42,635.137111938838,527.9413870951036,336.04876298069905,124.11388093433389,74.68559913340944
43,443.945989405309,213.50897060319494,136.49064806800212,122.24773442844487,93.90258165825209
44,223.506075894299,173.48057128729346,162.69164202760314,96.70788402293537,104.04537755100314
45,256.0351915230272,122.54185683850278,182.08810113016594,112.80136468995643,98.68514692182268
46,975.238003479776,738.2528633652435,302.9873218338186,137.3988388702696,97.63810131881831
47,1221.2353344121962,852.934891242603,365.83114733638206,135.74296017511762,94.20750295884275
48,239.82933829404084,279.1250694939673,174.62434657126042,131.64023147856489,112.60718254764413
49,970.2501142630637,927.0251033369155,288.0424295399397,136.27740750313302,74.99594486403277
50,1139.969220677322,1057.730258299083,619.1742863203233,158.88648928360305,87.45743062567459
51,215.38441156231391,207.69711893797853,91.56272842397041,90.76262279675056,100.05355315974455
52,245.4143436230009,183.43739367162559,132.11161963898152,104.13594843033461,95.55951425413485
53,1103.5001436317455,783.2149475821054,398.3100825504958,114.99288361332542,110.18242324625763
54,350.8320400002963,268.0043143580879,213.77079014412408,123.00359801097724,107.64443215157314
55,334.1263869168088,244.8607079971047,151.1628681251875,124.40459965742818,97.69307947592647
56,1096.231698959791,564.2286282235527,310.8296004615723,209.79765330145196,135.72822940789763
57,495.4968200758409,431.1505924589718,217.58209079902159,164.68429327892449,89.51734545844263
58,519.6415685237771,270.0430475288127,289.1076123993529,163.57969939609782,97.88513182045986
59,201.02633982903853,234.15530653833895,249.5366519692171,145.82464163056056,115.06072997648613
60,194.91652213946398,235.6147429021085,152.9357328784623,145.78066978778,112.95541140327026
61,318.2411095351059,211.75581964238654,156.00418517968137,175.7460462015797,99.15229859941583
62,1234.696351709915,924.0255061056971,401.15515517837866,162.8765613473332,117.89292040866096
63,246.4088021817974,191.94319376997697,173.04403674318894,136.2136610079575,120.02674556125548
64,300.74780065687605,217.88122854109844,147.31611725401683,140.7937601187604,103.22874266605717
65,293.97921329646994,192.23896804333978,146.18757487806693,127.60543415103396,110.67719750011982
66,917.569601504485,685.3226824592659,496.4254929817539,166.05967985531038,97.42319527003139
67,693.8600807654537,461.4498474171672,251.61666620606943,131.02822776283085,126.01346917695058
68,605.510424381188,360.8627907100573,189.87348475961838,119.70346299907138,100.12353885072939
69,677.3664662405954,465.2184160079238,211.6296432710729,107.38822254218104,93.4296120097606
70,323.2719271751511,224.5656781610754,230.3196605219602,147.3049680117758,113.43932713981675
71,455.7949996086252,396.0312107572635,235.88026101090026,115.66399204219825,106.43121630349708
72,307.8707146252912,255.56082548321342,202.3426183674943,115.10682575599203,99.52220765021275
73,878.2019852009084,810.9543762511742,464.9689325255613,167.0810599647618,108.45403913623797
74,359.8016724824939,212.7246549847382,243.68883277282208,117.46253819292865,110.12564812414269
75,317.4870889472631,360.3132618780563,230.30796709946594,126.6420538010497,129.51776038156157
76,324.6376389346011,156.82687181972375,130.17733505401483,96.91100714026706,90.17644314416975
77,899.4436263384964,583.6028964819835,363.8297716610997,131.86089448665032,100.31357022050099
78,296.2845079769222,299.68454131553983,199.78226721029316,121.34507791193336,105.21943717932996
79,1201.847629011525,647.742043788458,361.63452363360295,118.77661989449548,123.0391806502805
80,1196.9801388402852,567.5785020489973,392.66481969481237,206.63973131991818,131.7984774761996
81,389.60564298916887,262.6843617933129,139.3305647724965,112.03135567223164,90.48791496248587
82,388.6166760872111,166.5083999933787,139.8242378117916,131.63951729458194,122.39616761549786
83,469.84233233183267,340.7121055706999,209.94305324528864,124.14682868899143,118.04792361517661
84,1125.4803564340455,618.4081814285462,264.074570870882,125.88156368565058,115.24967221435654
85,969.5641524073765,755.9867335268299,419.4104686524628,114.23288239409321,125.21450502158642
86,959.0832605370183,837.678760885308,282.34514364204676,124.82130923841252,101.8579962364822
87,322.6430031306662,139.19848620784683,96.69355512546039,116.82522121003355,103.32101997533508
88,299.84299652532695,196.04576226006913,111.87692644842112,110.8237983111809,110.16640334905333
89,1869.1330078301937,1268.9750390364184,478.836522294872,165.0347998179111,109.16605431147954
90,851.9980725461731,371.9574542800104,247.84441495223746,128.42604855072466,100.13185323178152
91,474.93692099824807,264.6597703817721,114.04654327749945,106.20800305273956,86.20095015101316
92,304.8639124035012,236.0886853293047,203.16932721651114,144.14728714763876,88.25261708761903
93,530.4134645688989,435.62696563942507,252.17035160607065,107.66893170804498,101.71857664931112
94,396.40636385427024,140.03024188852788,174.65631424878285,120.79477834219992,102.67343888001125
95,1072.2945823610057,703.0357447476434,294.83774015732763,103.27815342418798,137.74580473012048
96,1320.4700693519287,891.5583761565233,482.0839974421324,132.50275707702886,107.52496151485259
97,370.27554852491835,292.99153342542,141.22625693625167,94.94830943293923,124.0563435426531
98,1344.4227326071796,719.9768414220637,383.8907217718226,133.41942773920553,103.63820435548791
99,403.3977887861911,264.94869654658044,208.08341745062188,145.8351773326589,129.2747016374325
100,293.23984124824085,173.3113607456716,153.74376896188397,131.99300082748087,113.55610444990725
101,1184.2670683109131,943.6951559664789,455.3318801817997,124.50136963429141,110.77834624270196
102,868.9258692599507,686.8684851068421,348.7664206323014,144.72497390363384,109.91940747301872
103,252.964706584782,196.80173692765575,169.85056706424933,159.1739925039573,115.7441611592671
104,1122.8357537470088,620.0196206937718,353.8055784679594,115.97421156376679,129.67722458639918
105,359.54441419946136,222.4783558685668,194.4524790810286,142.1171663690579,90.87919918457737
106,325.2908332675439,311.36512918535124,136.32948040416127,103.90668071128255,88.43005654578997
107,484.36144746763193,362.6465422184062,142.40983015707292,141.0725198239792,126.15664455992398
108,676.0901566655426,239.20493266684858,123.62298495064917,133.71629788409868,124.89313098415994
109,715.9532722257366,724.5611998014925,374.74882822205495,138.75505714081655,122.13596889984993
110,423.64368703183953,235.41902389327166,134.67780566224624,122.07146632506567,115.92435036421288
111,376.1817193825782,243.4919542616762,116.62478970237999,130.5997660113256,128.73233594263178
112,1553.0625819331751,1028.7022106810753,448.3839753462157,153.92869932685963,106.02255021369777
113,1712.755441051815,1000.7173456017063,393.0584739023301,148.763380633865,96.0612326179252
114,438.5108736035246,191.25520860568068,252.6544941937337,139.0405466209818,114.495454586446
115,419.2336214951174,353.6488569524096,233.8636236499543,149.3890830174692,117.77914458285099
116,556.601836179673,462.3859326795599,331.2187616964694,147.61649977407396,127.28612632532914
117,1294.5738392946753,840.581373813268,350.41363401239744,140.45864576585396,128.57315982674208
118,323.3616758780835,252.00780147502405,192.08379652162958,144.52888652397283,143.4537586711681
119,238.685016136986,217.67370683148465,234.42774807027158,175.90591443030758,111.10248188735319
120,1143.3237385567356,933.7310376020439,344.45104232092024,161.1052938968421,114.49292029367587
121,714.7411159976258,707.3923696010055,231.5009801114299,178.5703840213802,130.54263689404877
122,362.35019310839795,319.6237238856702,241.5381494885888,151.74702954376994,106.18401819229004
123,990.1317225014604,763.0215204385025,385.86527285943805,139.71736013625974,108.31798752727155
124,1383.1272142583955,752.0498497612608,327.37304535662287,116.3299230677671,100.42808063002948
125,1117.392864937963,728.4740746182587,507.3146543423842,198.8817416918439,153.48677430028903
126,2149.381290250153,1124.3310347145957,541.5825461645195,227.41763142244662,140.21597065975152
127,538.5909276862925,191.5686875843432,169.7784847158838,102.57902013988655,119.96569491246628
128,258.225281531055,280.8288688901789,154.73483524727115,150.65628714949068,134.77031637840577
129,347.85241650238765,239.85406459392783,139.23316370889052,102.04428475910554,114.4636011128464
130,752.3771466994617,571.783114287034,314.30881524969845,121.80274284557058,83.68457492353738
131,900.7306042362351,664.4465950519638,329.4833154298118,113.38223082508144,116.81158192132649
132,1100.5390716924232,860.7034337260899,341.0546144587479,141.34580051171946,122.14962635171662
133,457.6413588918868,343.45196953601226,185.6089382447352,112.93053561751832,116.73277442386622
134,1279.914698241199,1020.3233623350641,335.62706263973087,155.95716377849186,104.770555483244
135,1855.9027694498986,1159.5444471567237,516.8725118244695,185.02922016024536,123.84999875583463
136,1053.0641914751186,855.860717850201,395.9415455155085,166.16377285376123,115.86055452326148
137,374.7364498904973,276.56146191443224,179.59562011587988,134.03581908416598,133.2902765169065
138,273.00683283705786,257.6501234596547,150.97399771838096,83.9094400465181,98.41218355416534
139,1130.1801180026814,676.7808248378617,204.21406998426056,139.68045272207314,141.13437401761593
140,530.0215074679909,263.94370292507585,192.18473343029453,124.92613121063728,107.55571099633063
141,288.7586533136599,135.5103914388416,113.74798275757325,126.48488075877819,157.6925398718201
142,434.127019671807,254.78458081393205,166.27213591518807,99.18860390085347,112.61509347488759
143,473.7563172520677,297.5865907613602,300.73124810239426,164.76651986804964,113.93303357595062
144,1197.096091255948,781.0814922528122,359.237384346438,155.32008130036692,106.29983029197967
145,306.82966891749584,231.49953006493175,203.4939932234692,129.8456776829612,127.36366397112032
146,291.6596403968109,238.51674061374678,171.89440117191043,127.95590755086023,93.96702274747295
147,816.0876861247951,577.8817493544925,329.9868581674261,134.48437299661205,136.26681689443927
148,343.70375003643704,358.8990280321961,360.3271738385284,179.76167148008375,123.94667941690528
149,249.26441729762433,244.43426850624482,246.28598905030321,160.7924780797481,111.26559474647648
150,459.13039291372917,354.81500079069235,272.9343615859249,147.10194448690547,124.75104953158089
151,1305.2745864921194,726.2573589242922,244.6903073043381,144.99672840586197,111.78587040303287
152,238.85407451475191,248.7688536882019,142.15079494981464,129.8282871291946,104.90318482857575
153,266.09591412182954,227.79932049490463,284.9745110839682,119.84438624096013,132.18590100712768
