,Delta,Theta,Alpha,Beta,Gamma
1,1034.994853757629,532.0372706880266,294.7045512223588,139.88789550777255,138.49966891722076
2,891.0188397159848,429.0764776246833,343.5694661694557,170.33691882995157,101.28959297670224
3,442.821681967255,173.88062630766507,141.2766711554263,120.39312249116837,122.25791721366576
4,1273.3740258749247,798.5846543240201,405.52133006643027,157.11767307722843,150.81959727662402
5,854.4368213444155,524.202013296371,217.565717451889,148.3165315125483,139.2689913257521
6,391.88009791846775,251.6380388012305,290.0774519357449,159.25730815118615,167.52155498900504
7,923.4075852052981,484.687555531845,249.6278141869372,133.08942931341943,108.98784594616612
8,247.58980420770564,258.99966263547407,181.0122060811847,132.54125228351185,95.61414580907875
9,472.4237035854769,198.98089280399927,224.35620452698595,145.15988944946673,98.21442047008559
10,633.3296493891211,327.6406210724757,237.76632458259172,134.58422970681667,155.607808366323
11,334.2946498536954,268.55635190392354,175.2305831424107,137.61110623598367,98.85401215052967
12,742.661557373028,397.61828801805126,131.47045225288986,130.1708564339672,107.95003466244316
13,289.0520640501079,188.01302411448495,169.8731700417832,108.39466273442419,126.1688849114871
14,630.6463414044701,435.2533506968277,225.48271498423782,130.80970726037287,118.56134914293008
15,666.6528390390725,369.1349770426445,295.5797856721939,170.6425152124391,112.26619005345398
16,677.4481383023149,424.91117818364245,220.1785592508167,204.13756858878062,136.69947749718105
17,496.47763624925255,330.3248612359627,300.37660131676546,163.27692022194148,115.13238116423753
18,797.615618283157,522.1689668037355,425.48661251038874,159.90267566466898,117.57188064208134
19,517.3080879989149,436.7646305611618,215.58647883532635,145.15846051665108,151.19185457493313
20,292.085499994259,227.76188766456158,189.2744707382542,139.18458806143525,152.0759026103301
21,465.0440971252292,439.61621915275055,216.76681137149413,127.25192219170108,130.32373021828386
22,653.2428215445841,531.3645003988892,147.74320140232226,101.49425830425002,124.2222113149908
23,788.1318507156034,511.49019143075657,215.74779197012785,162.02709243658683,131.9057010590867
24,828.9370282466864,595.5831540098845,356.4729043916632,169.1334595696584,106.40978985996907
25,918.9060136466177,767.2515381402861,327.5548020036021,171.32408670510958,123.96258421701444
26,232.5620760517512,169.91864119046494,193.58649353961573,151.46212162394573,124.88027458788784
27,841.8107284260144,574.3262854848288,258.3949216572415,138.07544918886998,144.72243058990944
28,683.5348543706833,293.95033528177646,229.56952612549694,132.36172578422563,108.48070317224159
29,700.1730553930018,250.48956427735303,243.22339431037466,132.25366345923297,127.59883854691611
30,1020.0891952952499,520.1583629261365,267.37066582623254,141.4923884136875,123.29213368339072
31,492.14023742033197,289.9315043199857,172.8332945788752,125.4918334124181,119.28962435788566
32,599.5606427295456,390.05166438704117,184.9363543064423,189.71961140660088,139.87238581763717
33,866.4047627552351,327.100167666469,228.42567155663187,153.46750589047645,148.7281884606142
34,590.1057261750439,404.144006598605,191.0835021914421,171.58250298430832,121.93667011466287
35,441.4682532566218,243.6387804762434,256.833291407812,131.5835780980773,140.96550000059193
36,1047.6921313248222,545.9673657750307,206.53965919085567,157.3421254861108,130.34198447326034
37,411.7321451226635,318.51930408353917,176.28908478410864,132.29629618576885,106.55943807918108
38,838.4445335709383,626.281637550543,224.92067665600376,119.04552775342482,139.68729380826278
39,600.3032863750445,297.4894368002391,195.12097591658699,151.36631520955848,102.38445903405601
40,443.6749547415187,344.67629628114264,240.78955729109617,154.73086730048993,99.75199730763393
41,331.1901115641618,128.06812017588157,189.8043468437923,129.37549651234482,128.00366552838068
42,711.5483996580301,409.515998158074,244.0209427352911,148.75400495129483,128.10494497525008
43,412.32019180395184,206.62738112913547,261.09127095344775,135.52891539304713,163.8386964479149
44,272.5383181963507,304.3657576596156,161.37405560859975,114.37119625249834,141.45407040290962
45,241.91427211462894,145.8787903927301,229.60648303276577,134.8472068400406,149.89344223338662
46,223.79379072358557,344.96919776155636,257.6854395438163,110.34266836335553,110.6970236321306
47,722.2256048645908,464.1474323284882,350.62289790701743,150.36854868939307,107.68911763905268
48,478.39802426715016,293.2343289964583,157.87498091992816,174.97540036111016,137.0289326643665
49,362.07385910618694,256.34631259751905,136.45115914681682,142.1941565978666,117.64009930027999
50,427.90091310623694,215.0273391915627,201.218534779279,152.57368822543137,154.62160607253645
51,1067.1216196910289,690.4887719137215,254.55805817990478,143.65175864516556,129.22932271535947
52,499.4770508949404,252.1976663778596,120.65348334434832,120.95160086267776,123.6438789592888
53,320.25819145423776,226.74732518265984,141.79008173612974,137.6701426797592,142.4872125379943
54,542.763124115936,339.0447767645039,156.82497677632705,140.09609606948746,148.07933776246892
55,557.7730904347475,530.551397357047,287.0511724437876,165.79888557504117,125.83601708828158
56,788.4166955391778,369.4953972058854,185.31177925388482,149.28545089676257,111.78579391298206
57,568.0890631677569,290.158916786639,216.5234967000787,129.0994024576947,112.5916454881862
58,855.2226845956832,542.7997460356685,347.30724732039437,108.65218736758155,118.50876876493422
59,635.5796265514947,516.2056154369233,172.1793311209529,130.66578511984267,139.75648851848365
60,879.2230947199419,677.2809255066617,327.4803376801559,132.35330378706905,144.7274619745798
61,170.9911296209134,246.93475378209186,274.9354814511968,137.86768784192122,164.8964834961561
62,337.43961978167573,240.31691033699562,258.97056351297914,167.5559371515561,132.3459324454206
63,518.6793904602047,385.99608851440365,303.2876904297373,172.7441526703957,95.20730096770154
64,444.4502695973024,259.4219078603834,135.23316215486548,129.63899090816517,124.47145904252223
65,1181.5254821244334,902.6707229314665,387.8191079276296,125.39268018532626,143.94981306475404
66,135.30038019505946,217.71527075079592,161.46495776006194,149.4653272022855,153.7392704637985
67,1093.2236726109845,719.8739043544099,393.4170104056359,130.1685732135977,127.55908092175693
68,1169.1015547637203,651.7122573946347,267.25227740067567,133.41975113769115,137.23990251838137
69,339.57744791954775,266.933274976128,202.75732210290144,151.92517581019257,116.10823825205429
70,830.2488937228661,391.5059361888867,239.69996248564377,138.72572880383368,134.4371076704187
71,582.076055794166,572.4536044255248,427.330290723959,115.90365989001887,150.61276016022646
72,516.2003838649243,282.466992062801,143.91605063053515,125.04949630768431,183.43300756965314
