,Delta,Theta,Alpha,Beta,Gamma
1,709.5803354425157,288.06225304747994,242.29495560234074,128.7576752089729,72.26427371081458
2,586.1774430030464,228.64749043302785,174.9221129295744,116.68433244287665,82.0421136198242
3,157.442355401386,128.6943622408385,158.68025737300997,112.21990436770612,74.62040810245263
4,415.0636686084913,223.89659116954627,153.60540567734523,124.63924224292937,85.41295158282512
5,443.6454101061296,343.9818512136536,262.13129859825096,131.49866779341363,70.54021193149052
6,295.64829610103146,300.6894248735639,180.86867340716609,106.2908145706061,68.85655649724143
7,523.3907460716523,185.15655526337528,158.9223684611462,148.38056288535873,93.1584328486469
8,393.0597084093803,294.10119738575924,140.4183555410154,118.97491766314033,54.050855545760456
9,183.3424780611414,207.3477007196255,166.20339752504998,115.48138106903855,97.91902870026152
10,365.33558763298174,153.52630636721682,65.11185116412489,95.95707275823321,66.7420144378062
11,205.90322186953748,225.3915286266262,180.72397055094024,105.99786349416371,68.72403295304106
12,449.591272440976,276.77701037467546,208.66479967898604,120.7770267193804,78.18839910870078
13,1928.9697601909493,1089.565147086821,326.8691019010247,121.63822918657861,76.59235755375138
14,493.1152404319109,271.1350133450252,217.16772975605787,108.72815007845152,78.58196442001602
15,354.64055722876606,226.1024940987601,122.41456287887038,122.50459990394445,68.5526232620745
16,419.20588782000345,231.49078048062924,200.90552838616833,122.28704318888298,77.06361515741165
17,315.9972307530567,237.647998498157,146.54664958438312,118.92919170895031,71.0438188212085
18,349.36196026596315,278.1983570300123,260.3752254441933,107.19621237132824,70.72017669809739
19,322.0726029565511,245.02900523326952,150.08996957133684,113.87344411015083,74.36669488654871
20,404.25589274449646,192.64267699148166,201.01023310402542,126.0940105726793,67.28214182878585
21,216.01484626229623,236.83135201209817,142.7385126297936,95.00872537681029,84.85653543576313
22,462.2672901564553,361.6513611730889,277.0277651710927,119.82969724820073,83.98329797835123
23,572.8062148625756,244.03904739530134,183.5830438442387,117.77787012726321,67.46023260947219
24,332.59131214897656,277.92374645884905,135.47177805910937,125.39810245305479,87.42157865359454
25,449.55048070673547,276.6957907795845,230.6892136763958,113.76855212312613,72.64076212767998
26,286.40141831557986,214.74436871481117,119.41038589496807,119.81197433501792,88.33583874148636
27,375.7347438532761,254.16099267391382,150.50878010394302,107.20456578110145,66.19304768944562
28,185.250576003228,162.3386381302815,193.89866852226186,129.2065203150608,78.15452227529175
29,290.69686474047796,280.1971315239868,197.11805131901673,135.9941824914039,85.48595833417373
30,237.5527342503902,261.44394168748755,125.04346749757892,105.90165977435714,74.30196328997997
31,480.35011730256156,312.51866707661173,268.0090225516061,134.97892655377186,97.96724664684038
32,491.7429981890182,138.00301404848986,152.9082769158099,133.92810183987683,77.1623335271919
33,306.72761261813116,232.3857838208274,181.3488234938952,118.66449407691111,77.25297392612745
34,298.3144924367816,214.01580692839315,229.0323667163604,124.57625269952757,70.39036324199466
35,234.13393666113035,272.2289194211203,245.68187637978514,135.26753598555155,78.12771398058955
36,281.3497442875566,192.47665900928547,173.73944490772146,101.25292706247133,76.64202242278377
37,310.78880773611513,225.1023221955361,150.95713862896295,113.91681904724577,74.45024583415261
38,359.3611661902645,288.094713644331,194.61069488554116,107.24988792073637,102.92866903708898
39,420.73830452663026,287.8889123034659,294.02027213699176,134.89325424437862,98.76433620267541
40,395.75342839900736,253.3733248040885,119.8721157614535,109.80427549874328,68.95557493581649
41,291.604025214313,218.94512931591393,144.12944595140488,93.07288207166874,78.19297108671154
42,303.88934008605634,156.00702152319172,193.59414081393638,115.82208408741899,74.3564091585565
43,263.65280555642323,361.23537671051247,191.68871825795713,131.88702566611187,82.12171916285732
44,474.0222506887658,140.43119175595035,142.49421863210327,110.5857679204446,91.80772005229963
45,252.68623433114692,158.75836121742128,209.52717216148056,129.71022682554843,93.67837121515342
46,247.33558923357646,212.9454558364426,134.9278620716388,106.4892598801939,89.06895755794798
47,458.0867974235447,296.06976327003997,243.28632212520915,151.97060488353245,73.06390282470934
48,464.9319749584565,267.6694283241717,195.05881257863297,157.94395647766066,61.768630188012025
49,346.5411304487878,219.45248183220966,173.90209284424026,119.74327739326337,78.7295969157417
50,415.4775261325849,242.6731403179343,188.06493846927995,104.88440792277262,82.11644106303473
51,321.81265658960547,220.04061716244578,162.5549982232471,110.59401024777767,72.4215373462144
52,279.7611735532967,265.9258911153167,150.22271083527716,102.10204869573062,61.62432610519683
53,172.67280589231214,190.99199835369694,208.49271950427965,131.5913051759663,65.3858375453263
54,400.22411469562957,146.66048839119827,127.30094834623597,128.11663303772642,92.68766320087116
55,1367.240396459473,799.1645056041182,286.9629260032183,122.39446834951217,95.17310349678073
56,270.1960776337882,239.5628886847225,174.5014953477649,178.21906231950493,194.534991793355
57,399.07504223454094,196.67333479900097,238.95102641031136,122.24134491229353,161.76950160524564
58,286.81298655633816,193.4197448277529,101.31869107082939,101.75489201986488,71.0807433314937
59,472.0910261291073,322.59888085489064,195.38785220890094,129.79944069885042,73.98928608802652
60,396.50418940970366,186.98667169912633,154.45163683123735,92.1763899423233,93.40385974677915
61,595.766351659226,440.80799103555546,190.92553115097712,116.74090431600366,62.93439837454628
62,565.0555326027013,306.840396081231,200.71012104572733,85.31034376014716,63.29754421803699
63,186.9397010530179,164.64209957051054,173.37737872816186,124.6767339614648,87.90986676759826
64,367.9603080990822,161.5038098414922,246.35595976592202,97.13694932445145,85.33926966007809
65,366.0756232917396,158.91361470866747,135.90627580805636,116.85853018195255,69.50331538743536
66,594.9822018555374,280.9909435590699,192.29855609767722,152.62561889010402,85.3092388921956
67,1819.0329806242025,1223.286592655098,311.08160277900345,132.43829586187164,79.44863305818609
68,394.9254409166734,277.37712656470427,189.75426865366558,86.64365649314968,76.08947258396321
69,235.4400674571459,292.1805070713089,170.0448292013221,99.46352744359613,59.62037732909471
70,431.6632432636093,318.8059867642422,232.4083751815994,105.49946146753614,86.0299557088548
71,190.72236152843735,191.1340971905907,197.79208778954276,106.22893771277356,85.59232690515795
72,237.52977849090706,276.96826225817006,137.7063189804488,96.89520582723623,69.38506271184696
73,302.21699334859005,220.64583400484207,146.76234519791683,125.74564504215634,83.29383786435861
74,143.05620525790735,129.89610790275395,140.24741602394516,102.30561984640883,81.4127361620321
75,204.70211332361947,220.2942860036806,132.62441169175003,99.2130209060086,74.14293674455956
76,403.2250579515036,329.7502777583424,136.44034226846384,115.98226329887547,65.99747774337935
77,359.0712237723754,185.9381246773449,165.8597436992644,119.38380073623311,65.78829644284579
78,162.32298093301605,135.30392224312942,176.93853300874875,102.79290603712153,90.11819928531216
79,360.63425318482723,222.09032166173068,140.24946326542823,134.69935859391364,68.90883872344158
80,230.51040037018421,207.29029982669695,135.82761729524447,111.44094729290536,71.51119328469969
