,Delta,Theta,Alpha,Beta,Gamma
1,359.4664731533888,289.35759575625,169.76412886883853,124.44549940643093,151.8923330890276
2,428.03410521349747,346.5756877179232,173.81140651912634,168.16321244124765,152.3769897131184
4,274.7743722037383,256.4352762307393,177.09672874751345,156.4874922314372,106.26684724167777
5,243.6013592256248,239.02373445112653,183.11099996154522,154.4576670854586,127.79324341251302
6,516.9641014024168,259.81652547649566,165.72399691904207,169.18742482025883,143.14549113742746
7,365.31792542359227,223.82403252591766,197.1341273126016,171.03556068149405,139.93905602180195
8,656.3064128783916,352.7227875938767,180.32967935364783,152.14362393632155,137.09629339983326
9,549.7446386836015,499.68090676594994,220.94678597164858,176.94815772047076,114.77540791634428
10,539.5292141867966,313.7004341200188,136.83971347587305,171.75657177280414,145.47140583082594
11,399.5145605120566,143.57845008907864,180.80578961038523,141.39102353126236,124.94523523213398
12,291.54483318674994,149.56285715977225,182.09127366920293,150.78006908023167,148.21445806730947
13,290.68359101804475,150.95743821807815,133.6272241755425,162.88380787299297,145.6433074802505
14,294.88775766691816,274.02603527504164,179.84919572504853,150.3700011714359,118.54844115221992
15,459.9491758892484,342.3343515583444,226.73413847655996,164.3861903354472,139.57584596096342
16,364.1629464745682,169.7134409734064,192.4807847997742,158.41332664367738,140.5555485922604
17,219.01225397524453,211.67746637855686,108.91193108782709,152.4620630879186,181.8140127191914
18,330.78003477001226,307.7303621615388,165.83694731512924,158.63886739923637,172.66917660298395
19,272.95779380998056,156.34853701316513,123.27576428317806,127.97987775442768,144.19739107883237
20,244.80928730697505,216.96886943935357,178.0742911556064,157.9955606005417,136.09790236769032
21,291.98314426360514,109.652213736591,156.15160757718033,171.79056257762423,186.17955095194543
22,440.409821738809,267.3551077222568,253.98220263241706,170.54939479732053,120.27360669319057
23,311.8780913238336,268.7247862277158,172.1307438139299,164.31773718807403,130.65474907199493
24,439.98997677611453,391.8735384082728,358.26671755759145,232.69643665066016,156.1649887810779
25,437.95381151043586,258.4078181949411,212.171103455302,140.69604299266274,104.54800118040556
26,498.5005564316274,264.94541119512496,235.97658598305725,175.4632210803642,127.05940948080288
27,775.0522821164728,248.42725645675804,213.51813614590802,180.92754970518953,128.50059772224807
28,324.7699782473078,235.71850208161845,190.41028353163279,171.30272899906936,140.05886691387963
29,305.9298166910761,400.21961489963917,145.4601506030326,142.82607214904795,158.9231253502798
30,366.3445325722046,285.38093853781845,170.23547592335552,132.7231695316797,125.23386878891185
31,1376.7045117065072,891.8142262344145,553.3604480275302,229.76292593427564,172.31454822764215
33,287.0759945776247,241.79319601202997,203.07580590121222,160.51003642577058,116.3130862342151
36,535.7521488330906,290.5505530839831,161.435532536999,142.873508087287,147.8296831128228
37,264.4405363859996,172.47047219813373,117.40079584569689,156.89992174665676,154.00312758340823
38,229.93191906886204,218.78615414162664,123.68269493032733,167.25693525349786,154.3228790103779
39,244.23620872783337,193.32654157454297,183.2519942790904,128.70303816493188,180.1704247188627
40,339.78033907211193,228.8370834540421,109.71809843334407,167.68733383557026,112.47046924861164
41,423.77637046998257,270.8665599741763,139.44805730985317,133.65962873789195,114.63472474561846
42,374.4462559048262,268.5500046725488,133.17694750567455,129.86989545265956,112.06336008253568
43,333.08010959452156,179.13969356941067,169.5488905875523,161.61029985317984,108.39308917626198
44,255.00364467414943,201.57574707191688,178.24978652857752,178.7617987421976,112.90814805157966
46,322.4652790044964,216.41569841452127,210.25812540389114,123.80190787178509,117.79021866504351
47,299.24716951643626,194.533515342146,143.84582263326712,150.46676807484437,119.35246187652473
48,353.5391171901322,170.99176456678816,141.93371223718614,151.58178390704248,153.48499146584595
49,169.10410450128768,239.9344247918717,246.43664123058528,158.63878497991368,141.4689005670858
50,315.975723434589,371.13926063322515,184.33735209149123,173.1496571443547,166.31802127721164
51,194.75806361584742,252.68601815954176,227.6042942093556,181.16155378673574,145.45899374539792
52,408.1195309224772,459.11358218258084,675.541095723094,187.12207353079845,146.45846215247192
53,371.7795260955277,559.170662514306,369.18048912467054,142.02328617578658,222.5204685707488
54,263.02998116945514,343.33785049315003,284.19540403670857,162.6978211541898,155.390910764327
55,364.48347686235036,142.92516317824098,179.53821534905777,157.37256134460318,172.24824964218655
56,175.16441550100956,195.37768669075373,128.10900600798894,146.80654695101782,127.98871383894273
57,340.4897232363606,213.45768396328305,170.45792381239272,165.73025193592466,155.3210051825373
58,309.702279812513,210.11826946082587,145.91437459246148,197.0377955071449,134.35500943916958
59,309.54645594285074,269.9216892150093,208.58522876234596,159.14292957750413,127.77686559797877
60,332.5990743852288,203.66431154353458,174.80615063979135,165.43037367811934,129.97845996456087
61,218.70807349592553,233.65067089288678,170.92013355355007,130.9147027924721,136.2887286869991
62,363.5482662083664,256.49797510456295,167.8388603526746,159.17302031671954,143.0389465267972
63,247.41079639407727,155.63285204891687,165.94246230185038,182.63331040436447,156.75621027919453
64,294.02737671278925,197.03206147703273,204.60159692699153,185.2322209652354,120.11095048755695
65,249.3559093750611,141.11808842821756,168.78144408632602,164.83697713865237,122.20107954316393
66,212.7225355030356,194.74817232501078,155.76624696562695,180.94216856392327,128.22425622196695
67,249.24547080168304,180.44056758796813,110.82935995242676,133.9537574704269,147.26528304401876
68,274.8875378276181,232.87155138767653,232.79601965317448,169.6952254274046,135.08123742921367
69,412.3294707801414,201.0701653433348,280.536895105819,204.3287995519047,144.23706225733446
70,223.63271637038815,256.49814823762387,207.54860041018952,210.1725803371747,142.7241946425944
71,208.39435907896558,187.33683142839016,220.31434373927777,138.28750813823027,148.32750656375876
72,446.79979429495916,232.16226925859405,207.88238822174412,172.52090690511423,159.53715638578706
73,277.0814362872009,187.56249773588564,120.7667088545605,146.09458799836332,119.81092913545089
74,326.6296883824913,265.51753986777874,207.59580987758508,155.08082543971378,153.11811817633622
75,198.55273747484281,245.28258509912945,215.44117474830128,135.3595936975496,138.76827917663385
76,311.3651763908033,213.1861575253137,108.93659593505735,149.37520022370072,166.42230123194557
77,323.2657705008283,253.58460233909915,166.17226517870108,154.76967478327833,145.3683226153529
78,294.4714364643108,260.22637453810023,241.32472959473625,147.69199343633235,164.57353050939975
79,278.3738451941428,180.90963960521398,160.50114979832216,147.61772504026575,164.2880208209687
80,255.01841518555875,266.48747779910326,219.6740409072429,139.89186514801278,170.4333416399339
81,226.80656799122016,219.5755874670155,139.93500329578845,178.22148051899825,146.94310881680633
82,391.1708101469911,270.6605095739497,259.24658384401147,183.5467930602965,128.41039915196063
83,368.762307780683,207.42087861909803,148.02392173769994,178.2711046078443,159.51230508446014
84,348.29774032737146,364.378149791091,100.4623387779182,149.4082861288857,121.58241559569908
85,239.45068570587844,177.25447570808606,155.84612792228688,192.42066669565688,184.61074166243566
86,454.76788953153346,223.44915099892933,137.7479342206513,126.06451435765771,146.868364557415
87,230.70792891570468,289.2248374503013,259.02085448284356,194.19366511141644,137.9858971346332
88,333.7015465108685,228.91428926370781,174.151378155926,140.6392952525462,153.52548623763022
89,287.8235414271056,280.8399168500024,164.42740299403397,151.25025437008495,126.85079055023068
90,459.4894031631017,262.0766713271539,178.724566113987,143.1606821891061,119.50789003031562
91,417.7138323025308,207.47367872966288,138.34064782089433,137.6253519467832,137.4013154470395
92,338.3314481044473,286.3077410376494,166.57513546275547,137.98719052130758,190.7117475291064
93,179.6161427254062,248.49417763239904,206.08462033118093,171.78142983005532,115.43623874757935
94,186.08083984856927,212.49397980566846,220.9726556392523,176.55367318152813,131.53461860616943
95,402.98415075361936,298.64421108906413,158.42679633321967,146.33653913885547,135.33013915517992
96,299.45107152825364,182.13559661853708,162.7538940262767,160.0605930352342,123.22337927212295
97,381.85649350855823,261.38357487882945,144.93449801828706,150.92387053191896,121.58060770853999
98,236.37120601889424,191.9593623378191,91.9175944852436,135.917743233414,150.3961325332644
99,143.45178791745732,158.1423286264173,149.21127344427154,150.26531352620356,106.52786049318047
100,306.4627665503659,266.4921292864333,203.50532711716968,142.9666014250076,139.71660554611415
101,353.4528469435111,230.0560585450011,273.71717988789857,174.16050755013742,167.4756215616994
102,326.3258470208652,344.0815303822189,312.5075843632981,152.64861161802443,152.46461245237595
103,328.60799173662394,167.0656102644317,208.56755890303185,147.42720509680666,190.44800486958843
104,1186.9072048312141,361.8837050562097,448.8760249375873,242.03951240849864,180.7011475290592
105,603.5928590168137,486.2878623979168,292.2125028336093,180.48071210019893,159.11454649292116
106,446.62070600745716,313.23621560104016,187.45198539493398,184.39268501928956,211.4203974634391
107,708.1100966900866,357.3548478377758,159.65241930691883,162.2373050486097,166.47593164848388
108,354.4658432218467,157.24243479610698,150.49086591544125,156.6573485740773,185.34911677511153
109,451.89964745472514,311.83751998390136,171.08673767765816,163.07857808582045,125.57837054946053
110,207.5862289780325,288.01219375257386,268.08819823978854,167.7381362038889,166.15690308292255
111,491.87028416698,337.991979505955,222.18249798890375,154.2208539811787,165.9094861603304
112,352.87508482635735,277.2247484440212,221.43795172953241,162.80960257510114,147.34127070530823
